id,title,artist,count,year,duration,loudness,tempo,time_signature,key,danceability,energy,valence,explicit
2GxrNKugF82CnoRFbQfzPf,I Like The Way You Kiss Me,Artemas,20,2024,142.5146,-4.263,151.647,4.0,11.0,0.599,0.946,0.747,False
6bryx7HyB4lVDc0KQXuoJ0,Get In With Me,BossMan Dlow,20,2024,120.79297,-5.553,158.9,4.0,1.0,0.612,0.649,0.219,True
52eIcoLUM25zbQupAZYoFh,Redrum,21 Savage,20,2024,270.69763,-8.757,172.09,4.0,2.0,0.625,0.733,0.244,True
7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,Chappell Roan,20,2024,192.721,-4.448,124.041,4.0,9.0,0.657,0.82,0.709,True
2ObBVRY8a2lnAkNG62u9eC,Beautiful As You,Thomas Rhett,19,2024,163.89401,-4.41,128.007,4.0,9.0,0.722,0.725,0.468,False
4w2GLmK2wnioVnb5CPQeex,360,Charli XCX,19,2024,133.80522,-8.13,120.042,4.0,0.0,0.857,0.62,0.796,True
1FhgmMvNlh3nJ1Ldc2eE6H,High Road,Koe Wetzel & Jessie Murph,19,2024,179.41324,-5.046,138.077,4.0,6.0,0.622,0.726,0.534,True
4QTlxavdQGUVitxAvQqqkU,Mmhmm,BigXthaPlug,19,2024,119.01574,-8.799,126.003,4.0,9.0,0.93,0.682,0.962,True
4OssqCixV2Xsxd43wMIQyS,Carnival,¥$: Kanye West & Ty Dolla $ign,19,2024,264.32434,-5.746,148.144,4.0,1.0,0.594,0.811,0.311,True
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,19,2024,186.36504,-6.185,107.067,4.0,9.0,0.669,0.586,0.579,True
7CyPwkp0oE8Ro9Dd5CUDjW,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",19,2024,244.68454,-6.221,84.828,4.0,8.0,0.264,0.64,0.19,False
0R6NfOiLzLj4O5VbYSJAjf,La Diabla,Xavi,19,2024,172.26427,-4.372,131.842,3.0,11.0,0.751,0.819,0.697,False
6c0rii1TOf2fvq3hhqqExW,Nights Like This,Future & Metro Boomin,18,2024,232.26666,-6.197,160.025,4.0,9.0,0.692,0.559,0.311,True
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,Chappell Roan,18,2024,258.03473,-6.199,106.719,4.0,6.0,0.61,0.65,0.507,False
