,id,title,artist,count,year,duration,loudness,tempo,time_signiture,key
70,5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,19,2024,186.36504,-6.185,107.067,4,9
71,7CyPwkp0oE8Ro9Dd5CUDjW,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",19,2024,244.68454,-6.221,84.828,4,8
72,0R6NfOiLzLj4O5VbYSJAjf,La Diabla,Xavi,19,2024,172.26427,-4.372,131.842,3,11
73,6c0rii1TOf2fvq3hhqqExW,Nights Like This,Future & Metro Boomin,18,2024,232.26666,-6.197,160.025,4,9
74,1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,Chappell Roan,18,2024,258.03473,-6.199,106.719,4,6
75,5ZJGv7aGdIr9IGpxzSG18T,Everybody,Nicki Minaj Featuring Lil Uzi Vert,18,2024,180.86952,-5.525,137.959,4,11
76,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,18,2024,265.49332,-5.52,97.994,4,8
77,5q0EXnBYyeCdXD72FzJxH0,Illusion,Dua Lipa,18,2024,188.14345,-4.701,126.962,4,8
78,72kGuWpRiuA149Bn5lDkIO,We Ride,Bryan Martin,18,2024,188.48268,-4.176,81.989,4,3
79,7hRLuo4QnzCsjICXUOhTE6,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,18,2024,161.05261,-3.846,151.951,4,5
80,0PHrcmOtDE89ew4vVEaD7S,Bandit,Don Toliver,18,2024,147.70667,-4.534,130.109,4,2
81,3SaS0Va6o6jYkWvadT86C6,I Am Not Okay,Jelly Roll,18,2024,198.06667,-5.272,153.742,4,7
82,1a73gcEg6h6Re6hHXoVltJ,FTCU,Nicki Minaj,18,2024,172.13791,-6.694,144.978,4,11
83,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,Karol G,17,2024,195.82413,-6.83,128.038,4,11
84,2hKYtHbwYOSjvYQhVdUpdQ,TGIF,GloRilla,17,2024,164.57143,-6.381,140.067,4,8
85,7FKAVg9SA7QYLxdVRLnKjd,Chevrolet,Dustin Lynch Featuring Jelly Roll,17,2024,184.17332,-3.801,78.194,4,7
86,2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,17,2024,231.75002,-8.603,99.968,4,5
87,7iabz12vAuVQYyekFIWJxD,BAND4BAND,Central Cee & Lil Baby,17,2024,140.73334,-5.241,140.113,4,11
88,2hrycoFU1mZw6YPvMcn8yC,Kehlani,Jordan Adetunji,17,2024,122.36086,-3.769,160.017,4,10
89,5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,17,2024,200.25551,-3.495,117.187,4,3
90,1TgStpMGTflN84asKJ8VU3,U My Everything,Sexyy Red & Drake,17,2024,225.13293,-5.413,145.212,4,6
91,0y5Ex8oQ8zCH5TQxHUy1Eo,You Look Like You Love Me,Ella Langley Featuring Riley Green,17,2024,224.28,-5.851,128.942,4,11
92,0eBFgRxyVSeuT4iyrbukdn,Where The Wild Things Are,Luke Combs,17,2024,239.53333,-4.872,116.975,4,3
93,0mNzElhEofvgMWAJoOA4q9,Pour Me A Drink,Post Malone Featuring Blake Shelton,17,2024,195.1229,-3.855,119.05,4,11
94,73zawW1ttszLRgT9By826D,Man Made A Bar,Morgan Wallen Featuring Eric Church,17,2024,191.23106,-5.005,148.006,4,4
95,77DRzu7ERs0TX3roZcre7Q,Euphoria,Kendrick Lamar,16,2024,383.63904,-5.002,139.948,4,1
96,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,16,2024,201.8,-7.231,143.008,4,5
97,09hVlIVHtEE1nLUv6YGZiW,Burn It Down,Parker McCollum,16,2024,233.86938,-5.627,162.187,4,2
98,3WSOUb3U7tqURbBSgZTrZX,Casual,Chappell Roan,16,2024,232.79619,-6.95,131.008,4,1
99,5b3XJ1pjrHO5JtY2PcTjnI,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,16,2024,156.98834,-4.968,81.036,4,1
100,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,52,2023,201.8,-7.231,143.008,4,5
101,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,48,2023,153.94667,-5.747,88.98,4,8
102,7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,47,2023,163.85497,-5.431,203.812,4,6
103,7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,45,2023,200.6,-4.775,118.048,4,0
104,2dHHgzDwk4BJdRwy9uXhTO,Creepin',"Metro Boomin, The Weeknd & 21 Savage",44,2023,221.52,-6.018,97.914,4,1
105,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,44,2023,200.69016,-6.645,96.888,4,4
106,03fs6oV5JAlbytRYf3371S,Everything I Love,Morgan Wallen,42,2023,187.04721,-3.933,103.982,4,8
107,0PAcdVzhPO4gq1Iym9ESnK,Thinkin' Bout Me,Morgan Wallen,42,2023,177.38766,-5.723,139.982,4,3
108,0WtM2NBVQNNJLh6scP13H8,Calm Down,Rema & Selena Gomez,41,2023,239.31778,-5.206,106.999,4,11
109,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,39,2023,265.49332,-5.52,97.994,4,8
110,07on0OB2cdPt79IFsgdRUy,Need A Favor,Jelly Roll,37,2023,197.4,-4.246,157.978,4,6
111,1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,34,2023,212.95361,-9.475,130.09,4,2
112,2kYevr8cbIAH2ha8210Bnz,Love You Anyway,Luke Combs,33,2023,229.62666,-7.419,139.807,4,4
113,3Qu3Zh4WTKhP9GEXo0aDnb,Thought You Should Know,Morgan Wallen,32,2023,215.57152,-6.214,139.995,4,6
114,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta & Bebe Rexha,31,2023,175.2381,-3.673,128.04,4,7
115,39OclE5hZematADrdfaWvE,Next Thing You Know,Jordan Davis,31,2023,175.22667,-8.253,78.534,4,5
116,3WMj8moIAXJhHsyLaqIIHI,Something In The Orange,Zach Bryan,31,2023,228.01329,-12.151,175.212,3,4
117,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,31,2023,178.42667,-5.707,169.994,4,9
118,2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,31,2023,260.25333,-7.163,133.629,4,1
119,5W4kiM2cUYBJXKRudNyxjW,You Proof,Morgan Wallen,30,2023,157.47787,-5.068,119.706,4,9
120,1brnLTvarI9D1hLP6z2Ar8,Thank God,Kane Brown With Katelyn Brown,30,2023,174.56,-8.735,99.945,4,3
121,0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,29,2023,195.37334,-8.127,81.001,4,11
122,73RbfOTJIjHzi2pcVHjeHM,What It Is (Block Boy),Doechii Featuring Kodak Black,29,2023,189.825,-5.851,171.925,4,1
123,5Bvhk3wx42kkDEggSQIwqL,Favorite Song,Toosii,27,2023,204.0,-9.34,116.029,4,2
124,6CThut6kPrjot0pTJOTEer,Truck Bed,HARDY,27,2023,167.53477,-4.88,132.058,4,0
125,1rXq0uoV4KTgRN64jXzIxo,One Thing At A Time,Morgan Wallen,27,2023,206.86453,-5.187,141.982,4,7
126,5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,26,2023,184.61333,-8.947,116.931,4,9
127,6UN73IYd0hZxLi8wFPMQij,Players,Coi Leray,26,2023,139.56,-5.74,105.004,4,6
128,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night,Dua Lipa,26,2023,176.57932,-4.93,110.056,4,11
129,4rXLjWdF2ZZpXCVTfWcshS,Fukumean,Gunna,26,2023,125.04,-6.747,130.001,4,1
130,1TE8AAk9koG0UJco6ZAUfx,Rock And A Hard Place,Bailey Zimmerman,26,2023,207.54095,-7.3,121.991,3,1
131,0bILU0UiNDmA5Ff6whhb2R,Religiously,Bailey Zimmerman,25,2023,178.7234,-6.519,140.924,4,1
132,4gXHG9domIKO6FIViDISA4,Cupid,Fifty Fifty,25,2023,174.11624,-5.72,120.001,4,11
133,30LZU3ReFIndjHLfaahreM,Save Me,Jelly Roll With Lainey Wilson,25,2023,237.49333,-5.018,83.03,3,0
134,6DLbBlGIOjjEj0dNN25zhZ,Tennessee Orange,Megan Moroney,25,2023,223.11974,-6.637,156.031,3,9
135,7KokYm8cMIXCsGVmUvKtqf,Karma,Taylor Swift,24,2023,204.8523,-7.108,90.008,4,8
136,6HgWWaMu31KdOpEG5l28BG,All My Life,Lil Durk Featuring J. Cole,24,2023,223.8785,-5.881,142.974,4,3
137,1kuGVB7EU95pJObxwvfwKS,Vampire,Olivia Rodrigo,23,2023,219.72408,-5.821,136.848,4,5
138,2KtGiBi5CrX2ERPD2PAS34,Dancin' In The Country,Tyler Hubbard,23,2023,179.64,-4.614,114.974,4,7
139,6wf7Yu7cxBSPrRlWeSeK0Q,What Was I Made For?,Billie Eilish,23,2023,222.36957,-17.843,79.449,4,0
140,22VHOlVYBqytsrAqV8yXBK,Dial Drunk,Noah Kahan,23,2023,213.81728,-7.193,112.108,4,8
141,2UW7JaomAMuX9pZrjVpHAU,La Bebe,Yng Lvcas x Peso Pluma,23,2023,234.35297,-5.678,169.922,4,2
142,3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,Eslabon Armado X Peso Pluma,23,2023,165.67116,-5.176,147.989,3,5
143,4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,23,2023,167.30318,-5.338,173.93,4,6
144,6AQbmUe0Qwf5PZnt4HmTXv,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,22,2023,131.01334,-8.254,132.962,4,5
145,4Ls53fBNVfaXTROBi6X8Hw,Just Wanna Rock,Lil Uzi Vert,22,2023,123.89057,-7.924,150.185,4,11
146,1DgtQlVNotingln271ZKCx,White Horse,Chris Stapleton,22,2023,267.89334,-11.066,145.225,4,1
147,3nqQXoyQOWXiESFLlDF1hG,Unholy,Sam Smith & Kim Petras,22,2023,156.943,-7.384,131.007,4,2
148,2ZL7WZcjuYKi1KUDtp4kCC,Spin Bout U,Drake & 21 Savage,22,2023,214.58853,-6.383,129.971,4,7
149,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake & 21 Savage,21,2023,239.35977,-9.39,160.07,4,4
150,0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",21,2023,182.66667,-5.298,116.624,4,5
151,741UUVE2kuITl0c6zuqqbO,Barbie World,Nicki Minaj & Ice Spice With Aqua,21,2023,109.75016,-8.393,144.072,4,0
152,5HR7yfhSCeoOHRQN05XnZQ,Que Vuelvas,Carin Leon X Grupo Frontera,20,2023,169.41896,-4.309,162.542,4,10
153,7ABLbnD53cQK00mhcaOUVG,LaLa,Myke Towers,20,2023,197.92,-4.045,91.986,4,1
154,7mXuWTczZNxG5EDcjFEuJR,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",20,2023,212.87805,-7.118,140.098,3,5
155,4aA7Lrm6rLGHx5kRMVb7NU,Fight The Feeling,Rod Wave,20,2023,160.7143,-9.213,168.029,5,0
156,6wsqVwoiVH2kde4k4KKAFU,I Know ?,Travis Scott,20,2023,211.58244,-4.441,117.995,4,5
157,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Taylor Swift,20,2023,202.39578,-10.56,97.05,4,7
158,5mHdCZtVyb4DcJw8799hZp,Escapism,RAYE Featuring 070 Shake,20,2023,272.37332,-5.355,96.107,4,2
159,1nrgBXtczBXNSlqIezjwbR,Memory Lane,Old Dominion,20,2023,172.48,-5.136,118.968,4,6
160,3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,Ed Sheeran,20,2023,194.84875,-6.221,107.071,4,2
161,7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,Drake,20,2023,272.1126,-8.562,140.009,4,10
162,3tpI98Yae25hSvhh6mitA9,ICU,Coco Jones,20,2023,241.62418,-6.765,124.669,3,8
163,42TtHTxWk782ZBiqyOi2d1,Dawns,Zach Bryan Featuring Maggie Rogers,20,2023,290.89224,-7.658,122.811,4,0
164,2mpoNBkngUEwnaKoBhZ0vl,PRC,Peso Pluma X Natanael Cano,20,2023,184.06648,-6.34,138.078,3,7
165,2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,20,2023,231.75002,-8.603,99.968,4,5
166,7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls,Morgan Wallen Featuring ERNEST,20,2023,181.6211,-3.777,172.037,4,8
167,6YWME4xCa5Lm6X1exVMQIC,Por Las Noches,Peso Pluma,20,2023,238.88799,-7.494,185.084,3,9
168,0ZxhtATQ0a6EvQNZ0z6NKV,Princess Diana,Ice Spice & Nicki Minaj,20,2023,172.12526,-5.092,147.964,4,9
169,5w40ZYhbBMAlHYNDaVJIUu,Chemical,Post Malone,20,2023,184.01334,-4.856,169.949,4,2
170,4iJyoBOLtHqaGxP12qzhQI,Peaches & Eggplants,Young Nudy Featuring 21 Savage,20,2023,198.08163,-6.181,90.03,4,0
171,7KA4W4McWYRpgf0fWsJZWB,See You Again,"Tyler, The Creator Featuring Kali Uchis",20,2023,180.38667,-9.222,78.558,4,6
172,0DWdj2oZMBFSzRsi2Cvfzf,TQG,Karol G x Shakira,20,2023,197.93333,-3.385,90.123,4,4
173,5BqI4ugJL5WaPRQ6MlC8Ho,Try That In A Small Town,Jason Aldean,20,2023,181.6,-3.771,145.989,4,0
174,2yzshFeBIwH8tWIqHEFLeD,Un x100to,Grupo Frontera X Bad Bunny,20,2023,194.56326,-4.089,83.827,4,9
175,4reXo2zg1uhEIpUAacDb9C,Handle On You,Parker McCollum,20,2023,219.9678,-3.925,105.025,4,6
176,0FxtC8uFapbpDBliAU3sd6,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",20,2023,174.9426,-6.657,136.175,3,11
177,7ro0hRteUMfnOioTFI5TG1,Where She Goes,Bad Bunny,20,2023,231.70448,-4.019,143.978,4,9
178,2YVlDlk2zRceefo6XlC6DX,Ain't That Some,Morgan Wallen,20,2023,158.0035,-5.834,121.089,4,6
179,3sYBFUXTv0STUoUINx9Qe8,Watermelon Moonshine,Lainey Wilson,20,2023,208.85333,-6.709,139.921,4,1
180,3kXH9BQq0TyNliiP1MIE6N,Wild As Her,Corey Kent,20,2023,201.06667,-5.927,148.009,4,0
181,0IKeDy5bT9G0bA7ZixRT4A,Bebe Dame,Fuerza Regida X Grupo Frontera,20,2023,271.8617,-4.629,157.643,4,7
182,0J1YRLYhTG1MBosjidD7OI,Good Good,"Usher, Summer Walker & 21 Savage",19,2023,247.10033,-4.819,140.991,4,7
183,6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,19,2023,163.64803,-4.912,138.992,4,8
184,4EKH0ajMHXTkq4ztWuztVH,Bury Me In Georgia,Kane Brown,19,2023,242.30667,-5.824,160.069,4,2
185,7phmBo7bB9I9YifAXqnlqV,I Wrote The Book,Morgan Wallen,19,2023,181.76666,-3.768,143.965,4,2
186,5RqSsdzTNPX1uzkmlHCFvK,Qlona,Karol G & Peso Pluma,19,2023,172.79778,-7.455,169.918,4,7
187,6WzRpISELf3YglGAh7TXcG,Popular,"The Weeknd, Playboi Carti & Madonna",19,2023,215.46689,-6.23,99.022,4,1
188,5AihIu9yF3flkw1jFMyfwW,Human,Cody Johnson,19,2023,221.52,-7.279,84.08,4,2
189,17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,19,2023,210.68884,-4.409,159.92,3,9
190,67nepsnrcZkowTxMWigSbb,Meltdown,Travis Scott Featuring Drake,19,2023,246.13397,-5.275,111.975,4,7
191,11BKm0j4eYoCPPpCONAVwA,Bloody Mary,Lady Gaga,18,2023,244.76,-6.365,99.998,4,9
192,6fDlK6P4s3BVMls9EmfCWI,Wait In The Truck,HARDY Featuring Lainey Wilson,18,2023,277.6595,-6.986,139.999,4,6
193,7sliFe6W30tPBPh6dvZsIH,Area Codes,Kali,18,2023,139.3258,-10.867,154.569,4,1
194,5DIBVDJOHh7djepAjKHWCO,Heart Like A Truck,Lainey Wilson,17,2023,199.04,-5.416,139.974,4,9
195,5wG3HvLhF6Y5KTGlK0IW3J,Trance,"Metro Boomin, Travis Scott & Young Thug",17,2023,194.78667,-7.524,119.476,4,1
196,3IX0yuEVvDbnqUwMBB3ouC,Bad Idea Right?,Olivia Rodrigo,17,2023,184.78372,-3.545,129.981,4,9
197,4pCbJC43j3gSqG6Fen6upD,Hey Driver,Zach Bryan Featuring The War And Treaty,17,2023,227.46667,-5.836,79.014,4,0
198,4KULAymBBJcPRpk1yO4dOG,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,17,2023,227.19592,-7.746,77.639,4,0
199,41WQUSINanQHfhfKpFDsms,Used To Be Young,Miley Cyrus,17,2023,191.18576,-3.834,147.029,4,4
200,6Zu3aw7FfjAF9WA0fA81Oq,Big Energy,Latto,43,2022,173.18236,-3.838,106.017,4,11
201,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,43,2022,238.80508,-6.9,80.87,4,11
202,567e29TDzLwZwfDuEpGTwo,Stay,The Kid LAROI & Justin Bieber,40,2022,141.80576,-5.484,169.928,4,1
203,6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,40,2022,153.19011,-5.569,153.96,4,2
204,50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,38,2022,207.85333,-2.724,141.02,4,2
205,4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,38,2022,167.30318,-5.338,173.93,4,6
206,3cBsEDNhFI9E82vPj3kvi3,Wasted On You,Morgan Wallen,37,2022,178.52,-5.24,196.0,3,11
207,7rglLriMNBPAyuJOMGwi39,Cold Heart (PNAU Remix),Elton John & Dua Lipa,37,2022,202.73546,-6.32,116.032,4,1
208,1Y5Jvi3eLi4Chwqch9GMem,Super Gremlin,Kodak Black,36,2022,200.54794,-6.634,72.993,4,2
209,3WMj8moIAXJhHsyLaqIIHI,Something In The Orange,Zach Bryan,35,2022,228.01329,-12.151,175.212,3,4
210,6HMtHNpW6YPi1hrw9tgF8P,About Damn Time,Lizzo,33,2022,191.93777,-6.305,108.965,4,10
211,0rCFRyEy4WXjRXNpO80Dzs,Fall In Love,Bailey Zimmerman,32,2022,232.05882,-6.055,135.962,4,9
212,1KQc37jezhunxnOPhvdwSG,Numb Little Bug,Em Beihold,32,2022,169.2376,-6.892,84.974,4,8
213,3CIyK1V4JEJkg02E4EJnDl,Enemy,Imagine Dragons X JID,32,2022,173.38123,-4.424,77.011,4,11
214,59nOXPmaKlBfGMDeOVGrIK,Wait For U,Future Featuring Drake & Tems,32,2022,189.89333,-4.474,83.389,4,1
