index,rank,title,artist,count,year,id,duration,loudness,tempo,time_signature,key
100,0,Snooze,SZA,52,2023,4iZ4pt7kvcaH6Yo8UoZ4s2,201.8,-7.231,143.008,4.0,5.0
101,1,Kill Bill,SZA,48,2023,1Qrg8KqiBpW07V7PNxwwwL,153.94667,-5.747,88.98,4.0,8.0
102,2,Last Night,Morgan Wallen,47,2023,7K3BhSpAxZBznislvUMVtn,163.85497,-5.431,203.812,4.0,6.0
103,3,Flowers,Miley Cyrus,45,2023,7DSAEUvxU8FajXtRloy8M0,200.6,-4.775,118.048,4.0,0.0
104,4,Creepin',"Metro Boomin, The Weeknd & 21 Savage",44,2023,2dHHgzDwk4BJdRwy9uXhTO,221.52,-6.018,97.914,4.0,1.0
105,5,Anti-Hero,Taylor Swift,44,2023,0V3wPSX9ygBnCm8psDIegu,200.69016,-6.645,96.888,4.0,4.0
106,6,Everything I Love,Morgan Wallen,42,2023,03fs6oV5JAlbytRYf3371S,187.04721,-3.933,103.982,4.0,8.0
107,7,Thinkin' Bout Me,Morgan Wallen,42,2023,0PAcdVzhPO4gq1Iym9ESnK,177.38766,-5.723,139.982,4.0,3.0
108,8,Calm Down,Rema & Selena Gomez,41,2023,0WtM2NBVQNNJLh6scP13H8,239.31778,-5.206,106.999,4.0,11.0
109,9,Fast Car,Luke Combs,39,2023,1Lo0QY9cvc8sUB2vnIOxDT,265.49332,-5.52,97.994,4.0,8.0
110,10,Need A Favor,Jelly Roll,37,2023,07on0OB2cdPt79IFsgdRUy,197.4,-4.246,157.978,4.0,6.0
111,11,Daylight,David Kushner,34,2023,1odExI7RdWc4BT515LTAwj,212.95361,-9.475,130.09,4.0,2.0
112,12,Love You Anyway,Luke Combs,33,2023,2kYevr8cbIAH2ha8210Bnz,229.62666,-7.419,139.807,4.0,4.0
113,13,Thought You Should Know,Morgan Wallen,32,2023,3Qu3Zh4WTKhP9GEXo0aDnb,215.57152,-6.214,139.995,4.0,6.0
114,14,I'm Good (Blue),David Guetta & Bebe Rexha,31,2023,4uUG5RXrOk84mYEfFvj3cK,175.2381,-3.673,128.04,4.0,7.0
115,15,Next Thing You Know,Jordan Davis,31,2023,39OclE5hZematADrdfaWvE,175.22667,-8.253,78.534,4.0,5.0
116,16,Something In The Orange,Zach Bryan,31,2023,3WMj8moIAXJhHsyLaqIIHI,228.01329,-12.151,175.212,3.0,4.0
117,17,Cruel Summer,Taylor Swift,31,2023,1BxfuPKGuaTgP7aM0Bbdwr,178.42667,-5.707,169.994,4.0,9.0
118,18,Die For You,The Weeknd,31,2023,2LBqCSwhJGcFQeTHMVGwy3,260.25333,-7.163,133.629,4.0,1.0
119,19,You Proof,Morgan Wallen,30,2023,5W4kiM2cUYBJXKRudNyxjW,157.47787,-5.068,119.706,4.0,9.0
