rank,title,artist,count,year,id
43,As It Was,Harry Styles,23,2023,4Dvkj6JhhA12EX05fT7y2e
44,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,22,2023,6AQbmUe0Qwf5PZnt4HmTXv
45,Just Wanna Rock,Lil Uzi Vert,22,2023,4Ls53fBNVfaXTROBi6X8Hw
46,White Horse,Chris Stapleton,22,2023,1DgtQlVNotingln271ZKCx
47,Unholy,Sam Smith & Kim Petras,22,2023,3nqQXoyQOWXiESFLlDF1hG
48,Spin Bout U,Drake & 21 Savage,22,2023,2ZL7WZcjuYKi1KUDtp4kCC
49,Rich Flex,Drake & 21 Savage,21,2023,1bDbXMyjaUIooNwFE9wn0N
50,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",21,2023,0vjeOZ3Ft5jvAi9SBFJm1j
51,Barbie World,Nicki Minaj & Ice Spice With Aqua,21,2023,741UUVE2kuITl0c6zuqqbO
52,Que Vuelvas,Carin Leon X Grupo Frontera,20,2023,5HR7yfhSCeoOHRQN05XnZQ
53,LaLa,Myke Towers,20,2023,7ABLbnD53cQK00mhcaOUVG
54,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",20,2023,7mXuWTczZNxG5EDcjFEuJR
55,Fight The Feeling,Rod Wave,20,2023,4aA7Lrm6rLGHx5kRMVb7NU
56,I Know ?,Travis Scott,20,2023,6wsqVwoiVH2kde4k4KKAFU
57,Lavender Haze,Taylor Swift,20,2023,5jQI2r1RdgtuT8S3iG8zFC
58,Escapism,RAYE Featuring 070 Shake,20,2023,5mHdCZtVyb4DcJw8799hZp
59,Memory Lane,Old Dominion,20,2023,1nrgBXtczBXNSlqIezjwbR
60,Eyes Closed,Ed Sheeran,20,2023,3p7XQpdt8Dr6oMXSvRZ9bg
61,Search & Rescue,Drake,20,2023,7aRCf5cLOFN1U7kvtChY1G
62,ICU,Coco Jones,20,2023,3tpI98Yae25hSvhh6mitA9
63,Dawns,Zach Bryan Featuring Maggie Rogers,20,2023,42TtHTxWk782ZBiqyOi2d1
64,PRC,Peso Pluma X Natanael Cano,20,2023,2mpoNBkngUEwnaKoBhZ0vl
65,Paint The Town Red,Doja Cat,20,2023,2IGMVunIBsBLtEQyoI1Mu7
66,Cowgirls,Morgan Wallen Featuring ERNEST,20,2023,7fveJ3pk1eSfxBdVkzdXZ0
67,Por Las Noches,Peso Pluma,20,2023,6YWME4xCa5Lm6X1exVMQIC
68,Princess Diana,Ice Spice & Nicki Minaj,20,2023,0ZxhtATQ0a6EvQNZ0z6NKV
69,Chemical,Post Malone,20,2023,5w40ZYhbBMAlHYNDaVJIUu
70,Peaches & Eggplants,Young Nudy Featuring 21 Savage,20,2023,4iJyoBOLtHqaGxP12qzhQI
71,See You Again,"Tyler, The Creator Featuring Kali Uchis",20,2023,7KA4W4McWYRpgf0fWsJZWB
72,TQG,Karol G x Shakira,20,2023,0DWdj2oZMBFSzRsi2Cvfzf
73,Try That In A Small Town,Jason Aldean,20,2023,5BqI4ugJL5WaPRQ6MlC8Ho
74,Un x100to,Grupo Frontera X Bad Bunny,20,2023,2yzshFeBIwH8tWIqHEFLeD
75,Handle On You,Parker McCollum,20,2023,4reXo2zg1uhEIpUAacDb9C
76,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",20,2023,0FxtC8uFapbpDBliAU3sd6
77,Where She Goes,Bad Bunny,20,2023,7ro0hRteUMfnOioTFI5TG1
78,Ain't That Some,Morgan Wallen,20,2023,2YVlDlk2zRceefo6XlC6DX
79,Watermelon Moonshine,Lainey Wilson,20,2023,3sYBFUXTv0STUoUINx9Qe8
80,Wild As Her,Corey Kent,20,2023,3kXH9BQq0TyNliiP1MIE6N
81,Bebe Dame,Fuerza Regida X Grupo Frontera,20,2023,0IKeDy5bT9G0bA7ZixRT4A
82,Good Good,"Usher, Summer Walker & 21 Savage",19,2023,0J1YRLYhTG1MBosjidD7OI
83,Nonsense,Sabrina Carpenter,19,2023,6dgUya35uo964z7GZXM07g
84,Bury Me In Georgia,Kane Brown,19,2023,4EKH0ajMHXTkq4ztWuztVH
85,I Wrote The Book,Morgan Wallen,19,2023,7phmBo7bB9I9YifAXqnlqV
86,Qlona,Karol G & Peso Pluma,19,2023,5RqSsdzTNPX1uzkmlHCFvK
87,Popular,"The Weeknd, Playboi Carti & Madonna",19,2023,6WzRpISELf3YglGAh7TXcG
88,Human,Cody Johnson,19,2023,5AihIu9yF3flkw1jFMyfwW
89,Lose Control,Teddy Swims,19,2023,17phhZDn6oGtzMe56NuWvj
90,Meltdown,Travis Scott Featuring Drake,19,2023,67nepsnrcZkowTxMWigSbb
91,Bloody Mary,Lady Gaga,18,2023,11BKm0j4eYoCPPpCONAVwA
92,Wait In The Truck,HARDY Featuring Lainey Wilson,18,2023,6fDlK6P4s3BVMls9EmfCWI
93,Area Codes,Kali,18,2023,7sliFe6W30tPBPh6dvZsIH
94,Heart Like A Truck,Lainey Wilson,17,2023,5DIBVDJOHh7djepAjKHWCO
95,Trance,"Metro Boomin, Travis Scott & Young Thug",17,2023,5wG3HvLhF6Y5KTGlK0IW3J
96,Bad Idea Right?,Olivia Rodrigo,17,2023,3IX0yuEVvDbnqUwMBB3ouC
97,Hey Driver,Zach Bryan Featuring The War And Treaty,17,2023,4pCbJC43j3gSqG6Fen6upD
98,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,17,2023,4KULAymBBJcPRpk1yO4dOG
99,Used To Be Young,Miley Cyrus,17,2023,41WQUSINanQHfhfKpFDsms
0,Big Energy,Latto,43,2022,6Zu3aw7FfjAF9WA0fA81Oq
1,Heat Waves,Glass Animals,43,2022,3USxtqRwSYz57Ewm6wWRMp
2,Stay,The Kid LAROI & Justin Bieber,40,2022,567e29TDzLwZwfDuEpGTwo
3,Ghost,Justin Bieber,40,2022,6I3mqTwhRpn34SLVafSH7G
4,Shivers,Ed Sheeran,38,2022,50nfwKoDiSYg8zOCREWAm5
5,As It Was,Harry Styles,38,2022,4Dvkj6JhhA12EX05fT7y2e
6,Wasted On You,Morgan Wallen,37,2022,3cBsEDNhFI9E82vPj3kvi3
7,Cold Heart (PNAU Remix),Elton John & Dua Lipa,37,2022,7rglLriMNBPAyuJOMGwi39
8,Super Gremlin,Kodak Black,36,2022,1Y5Jvi3eLi4Chwqch9GMem
9,Something In The Orange,Zach Bryan,35,2022,3WMj8moIAXJhHsyLaqIIHI
10,About Damn Time,Lizzo,33,2022,6HMtHNpW6YPi1hrw9tgF8P
11,Fall In Love,Bailey Zimmerman,32,2022,0rCFRyEy4WXjRXNpO80Dzs
12,Numb Little Bug,Em Beihold,32,2022,1KQc37jezhunxnOPhvdwSG
13,Enemy,Imagine Dragons X JID,32,2022,3CIyK1V4JEJkg02E4EJnDl
14,Wait For U,Future Featuring Drake & Tems,32,2022,59nOXPmaKlBfGMDeOVGrIK
15,Woman,Doja Cat,32,2022,6Uj1ctrBOjOas8xZXGqKk4
16,You Proof,Morgan Wallen,32,2022,5W4kiM2cUYBJXKRudNyxjW
17,Thats What I Want,Lil Nas X,32,2022,0e8nrvls4Qqv5Rfa2UhqmO
18,Bad Habits,Ed Sheeran,31,2022,3rmo8F54jFF8OgYsqTxm5d
19,She Likes It,Russell Dickerson & Jake Scott,30,2022,4uJDDG8vXJ6fZHtTfrPfMX
20,Titi Me Pregunto,Bad Bunny,30,2022,1IHWl5LamUGEuP4ozKQSXZ
21,Rock And A Hard Place,Bailey Zimmerman,28,2022,1TE8AAk9koG0UJco6ZAUfx
22,In A Minute,Lil Baby,28,2022,31lopd32BkJBTSgYE16c5e
23,First Class,Jack Harlow,28,2022,0wHFktze2PHC5jDt3B17DC
24,She Had Me At Heads Carolina,Cole Swindell,27,2022,200x8ONbPfFzByUr3fVz46
25,I Like You (A Happier Song),Post Malone Featuring Doja Cat,27,2022,0O6u0VJ46W86TxN9wgyqDj
26,Whiskey On You,Nate Smith,27,2022,0unNLQbn2xlm2nPcB1pdjS
