,Unnamed: 0,title,artist,count,year
245,45,Efecto,Bad Bunny,22,2022
246,46,Free Mind,Tems,21,2022
247,47,Provenza,Karol G,21,2022
248,48,Party,Bad Bunny & Rauw Alejandro,21,2022
249,49,Sweetest Pie,Megan Thee Stallion & Dua Lipa,21,2022
250,50,Easy On Me,Adele,21,2022
251,51,Doin' This,Luke Combs,21,2022
252,52,Die For You,The Weeknd,21,2022
253,53,One Right Now,Post Malone & The Weeknd,21,2022
254,54,Need To Know,Doja Cat,21,2022
255,55,Industry Baby,Lil Nas X & Jack Harlow,21,2022
256,56,abcdefu,GAYLE,21,2022
257,57,Glimpse Of Us,Joji,20,2022
258,58,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",20,2022
259,59,Hrs And Hrs,Muni Long,20,2022
260,60,Hotel Lobby (Unc And Phew),Quavo & Takeoff,20,2022
261,61,Bones,Imagine Dragons,20,2022
262,62,Bam Bam,Camila Cabello Featuring Ed Sheeran,20,2022
263,63,To The Moon!,JNR CHOI & Sam Tompkins,20,2022
264,64,Like I Love Country Music,Kane Brown,20,2022
265,65,All Mine,Brent Faiyaz,20,2022
266,66,23,Sam Hunt,20,2022
267,67,MAMIII,Becky G X Karol G,20,2022
268,68,What Happened To Virgil,Lil Durk Featuring Gunna,20,2022
269,69,Broadway Girls,Lil Durk Featuring Morgan Wallen,20,2022
270,70,Thought You Should Know,Morgan Wallen,20,2022
271,71,She's All I Wanna Be,Tate McRae,20,2022
272,72,Wishful Drinking,Ingrid Andress With Sam Hunt,20,2022
273,73,F.N.F. (Let's Go),Hitkidd & Glorilla,20,2022
274,74,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,20,2022
275,75,Tarot,Bad Bunny & Jhay Cortez,20,2022
276,76,Good 4 U,Olivia Rodrigo,20,2022
277,77,Running Up That Hill (A Deal With God),Kate Bush,20,2022
278,78,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,20,2022
279,79,Trouble With A Heartbreak,Jason Aldean,20,2022
280,80,If I Was A Cowboy,Miranda Lambert,20,2022
281,81,Beers On Me,"Dierks Bentley, Breland & HARDY",20,2022
282,82,Despues de La Playa,Bad Bunny,20,2022
283,83,Pushin P,Gunna & Future Featuring Young Thug,20,2022
284,84,Never Say Never,Cole Swindell / Lainey Wilson,20,2022
285,85,Ojitos Lindos,Bad Bunny & Bomba Estereo,20,2022
286,86,Damn Strait,Scotty McCreery,20,2022
287,87,Ghost Story,Carrie Underwood,20,2022
288,88,Unstoppable,Sia,20,2022
289,89,Last Night Lonely,Jon Pardi,20,2022
290,90,Take My Name,Parmalee,20,2022
291,91,Sand In My Boots,Morgan Wallen,19,2022
292,92,Puffin On Zootiez,Future,19,2022
293,93,Cuff It,Beyonce,19,2022
294,94,Last Last,Burna Boy,19,2022
295,95,I Hate U,SZA,19,2022
296,96,What My World Spins Around,Jordan Davis,19,2022
297,97,Super Freaky Girl,Nicki Minaj,19,2022
