rank,title,artist,image,last week,peak position,weeks on chart,detail,date,weeks at no.1
19,I Want You Tonight,Pablo Cruise,https://charts-static.billboard.com/img/1979/10/pablo-cruise-61d-53x53.jpg,19,19,13,same,1980-01-05,
20,You're Only Lonely,J.D. Souther,https://charts-static.billboard.com/img/1979/09/jd-souther-nyl-53x53.jpg,7,7,18,down,1980-01-05,
21,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,https://charts-static.billboard.com/img/1979/10/barbra-streisand-2i4-53x53.jpg,8,1,12,down,1980-01-05,
22,Don't Do Me Like That,Tom Petty And The Heartbreakers,https://charts-static.billboard.com/img/1979/11/tom-petty-and-the-heartbreakers-eog-53x53.jpg,25,22,8,up,1980-01-05,
23,Wait For Me,Daryl Hall John Oates,Not supported yet,26,23,11,up,1980-01-05,
24,Don't Let Go,Isaac Hayes,https://charts-static.billboard.com/img/1979/10/isaac-hayes-4y9-53x53.jpg,28,24,11,up,1980-01-05,
25,Sara,Fleetwood Mac,https://charts-static.billboard.com/img/1979/12/fleetwood-mac-m6k-53x53.jpg,35,25,4,up,1980-01-05,
26,Take The Long Way Home,Supertramp,https://charts-static.billboard.com/img/1979/10/supertramp-b14-53x53.jpg,10,10,13,down,1980-01-05,
27,Damned If I Do,The Alan Parsons Project,https://charts-static.billboard.com/img/1979/09/the-alan-parsons-project-yu1-53x53.jpg,27,27,15,same,1980-01-05,
28,Third Time Lucky (First Time I Was A Fool),Foghat,https://charts-static.billboard.com/img/1979/11/foghat-kmf-53x53.jpg,30,28,8,up,1980-01-05,
29,Deja Vu,Dionne Warwick,https://charts-static.billboard.com/img/1979/10/dionne-warwick-6mm-53x53.jpg,34,29,9,up,1980-01-05,
30,Chiquitita,ABBA,https://charts-static.billboard.com/img/1979/11/abba-wwl-53x53.jpg,31,30,9,up,1980-01-05,
31,"Yes, I'm Ready",Teri DeSario With K.C.,Not supported yet,36,31,8,up,1980-01-05,
32,Pop Muzik,M,https://charts-static.billboard.com/img/1979/08/m-p9v-53x53.jpg,32,1,22,same,1980-01-05,
33,Half The Way,Crystal Gayle,https://charts-static.billboard.com/img/1979/09/crystal-gayle-sqh-53x53.jpg,24,15,15,down,1980-01-05,
34,Heartache Tonight,Eagles,https://charts-static.billboard.com/img/1979/10/eagles-520-53x53.jpg,20,1,14,down,1980-01-05,
35,Romeo's Tune,Steve Forbert,https://charts-static.billboard.com/img/1979/12/steve-forbert-rc1-53x53.jpg,48,35,6,up,1980-01-05,
36,Rotation,Herb Alpert,https://charts-static.billboard.com/img/1979/11/herb-alpert-hn0-53x53.jpg,40,36,8,up,1980-01-05,
37,Rapper's Delight,Sugarhill Gang,Not supported yet,43,37,9,up,1980-01-05,
38,"Train, Train",Blackfoot,Not supported yet,38,38,12,same,1980-01-05,
39,I'd Rather Leave While I'm In Love,Rita Coolidge,https://charts-static.billboard.com/img/1979/11/rita-coolidge-j0p-53x53.jpg,44,39,8,up,1980-01-05,
40,Forever Mine,The O'Jays,https://charts-static.billboard.com/img/1979/11/the-ojays-vzm-53x53.jpg,42,40,7,up,1980-01-05,
41,Savannah Nights,Tom Johnston,https://charts-static.billboard.com/img/1979/11/tom-johnston-129-53x53.jpg,45,41,8,up,1980-01-05,
42,Fool In The Rain,Led Zeppelin,https://charts-static.billboard.com/img/1979/12/led-zeppelin-baq-53x53.jpg,64,42,3,up,1980-01-05,
43,Crazy Little Thing Called Love,Queen,https://charts-static.billboard.com/img/1979/12/queen-m21-53x53.jpg,58,43,3,up,1980-01-05,
44,Voices,Cheap Trick,https://charts-static.billboard.com/img/1979/12/cheap-trick-jcq-53x53.jpg,56,44,5,up,1980-01-05,
45,Why Me,Styx,https://charts-static.billboard.com/img/1979/12/styx-2ra-53x53.jpg,65,45,4,up,1980-01-05,
46,You Know That I Love You,Santana,https://charts-static.billboard.com/img/1979/11/santana-fo5-53x53.jpg,53,46,7,up,1980-01-05,
47,She's In Love With You,Suzi Quatro,https://charts-static.billboard.com/img/1979/11/suzi-quatro-x8u-53x53.jpg,51,47,7,up,1980-01-05,
48,Do You Love What You Feel,Rufus And Chaka Khan,https://charts-static.billboard.com/img/1840/12/chaka-khan-kwe-53x53.jpg,54,48,7,up,1980-01-05,
49,Mistrusted Love,Mistress,Not supported yet,49,49,9,same,1980-01-05,
50,Lonely Eyes,Robert John,Not supported yet,55,50,5,up,1980-01-05,
51,Lost Her In The Sun,John Stewart,https://charts-static.billboard.com/img/1979/12/john-stewart-zom-53x53.jpg,59,51,5,up,1980-01-05,
52,Dig The Gold,Joyce Cobb,Not supported yet,62,52,7,up,1980-01-05,
53,Last Train To London,Electric Light Orchestra,https://charts-static.billboard.com/img/1979/12/electric-light-orchestra-jef-53x53.jpg,63,53,5,up,1980-01-05,
54,September Morn',Neil Diamond,https://charts-static.billboard.com/img/1979/12/neil-diamond-4va-53x53.jpg,66,54,3,up,1980-01-05,
55,Money,The Flying Lizards,https://charts-static.billboard.com/img/1979/12/the-flying-lizards-cyc-53x53.jpg,60,55,6,up,1980-01-05,
56,Daydream Believer,Anne Murray,https://charts-static.billboard.com/img/1979/12/anne-murray-zsk-53x53.jpg,67,56,3,up,1980-01-05,
57,Move Your Boogie Body,Bar-Kays,https://charts-static.billboard.com/img/1979/10/bar-kays-mxw-53x53.jpg,61,57,5,up,1980-01-05,
58,Wonderland,Commodores,https://charts-static.billboard.com/img/1979/12/commodores-lju-53x53.jpg,68,58,4,up,1980-01-05,
59,An American Dream,The Dirt Band,Not supported yet,70,59,5,up,1980-01-05,
60,Dirty Water,The Inmates,https://charts-static.billboard.com/img/1979/12/the-inmates-ofd-53x53.jpg,69,60,5,up,1980-01-05,
61,Looks Like Love Again,Dann Rogers,Not supported yet,71,61,4,up,1980-01-05,
62,"Working My Way Back To You/Forgive Me, Girl",The Spinners,https://charts-static.billboard.com/img/1979/10/the-spinners-2yh-53x53.jpg,72,62,4,up,1980-01-05,
63,Glide,Pleasure,Not supported yet,73,63,5,up,1980-01-05,
64,Ships,Barry Manilow,https://charts-static.billboard.com/img/1979/10/barry-manilow-0ni-53x53.jpg,29,9,13,down,1980-01-05,
65,Heartbreaker,Pat Benatar,https://charts-static.billboard.com/img/1979/12/pat-benatar-lo1-53x53.jpg,76,65,3,up,1980-01-05,
66,When I Wanted You,Barry Manilow,https://charts-static.billboard.com/img/1979/12/barry-manilow-0ni-53x53.jpg,78,66,4,up,1980-01-05,
67,Longer,Dan Fogelberg,https://charts-static.billboard.com/img/1979/12/dan-fogelberg-4ox-53x53.jpg,77,67,4,up,1980-01-05,
68,Stargazer,Peter Brown,Not supported yet,79,68,4,up,1980-01-05,
69,I Need A Lover,John Cougar,https://charts-static.billboard.com/img/1979/10/john-mellencamp-tnp-53x53.jpg,33,28,13,down,1980-01-05,
70,Memorize Your Number,Leif Garrett,https://charts-static.billboard.com/img/1979/12/leif-garrett-tjn-53x53.jpg,80,70,4,up,1980-01-05,
71,Star,"Earth, Wind & Fire",https://charts-static.billboard.com/img/1979/12/earth-wind-fire-tue-53x53.jpg,81,71,3,up,1980-01-05,
72,Can We Still Be Friends,Robert Palmer,https://charts-static.billboard.com/img/1979/12/robert-palmer-i8q-53x53.jpg,82,72,3,up,1980-01-05,
73,99,Toto,https://charts-static.billboard.com/img/1979/12/toto-ful-53x53.jpg,85,73,3,up,1980-01-05,
74,The Second Time Around,Shalamar,https://charts-static.billboard.com/img/1979/09/shalamar-zos-53x53.jpg,83,74,5,up,1980-01-05,
75,You're Gonna Get What's Coming,Bonnie Raitt,https://charts-static.billboard.com/img/1979/12/bonnie-raitt-kcr-53x53.jpg,75,75,5,same,1980-01-05,
76,I Don't Want To Talk About It,Rod Stewart,https://charts-static.billboard.com/img/1979/12/rod-stewart-icm-53x53.jpg,84,76,3,up,1980-01-05,
77,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,Not supported yet,86,77,3,up,1980-01-05,
78,Shooting Star,Dollar,Not supported yet,88,78,3,up,1980-01-05,
79,Don't Make Me Over,Jennifer Warnes,https://charts-static.billboard.com/img/1979/12/jennifer-warnes-hfm-53x53.jpg,87,79,3,up,1980-01-05,
80,Volcano,Jimmy Buffett,https://charts-static.billboard.com/img/1979/12/jimmy-buffett-d7l-53x53.jpg,89,80,3,up,1980-01-05,
81,I'm Alive,Gamma,Not supported yet,,,,new,1980-01-05,
82,Broken Hearted Me,Anne Murray,https://charts-static.billboard.com/img/1979/09/anne-murray-zsk-53x53.jpg,37,12,16,down,1980-01-05,
83,Flirtin' With Disaster,Molly Hatchet,Not supported yet,,,,new,1980-01-05,
84,Video Killed The Radio Star,The Buggles,Not supported yet,46,40,9,down,1980-01-05,
85,Make Believe It's Your First Time,Bobby Vinton,Not supported yet,,,,new,1980-01-05,
86,Goodnight My Love,Mike Pinera,Not supported yet,,,,new,1980-01-05,
87,I Still Have Dreams,Richie Furay,https://charts-static.billboard.com/img/1979/10/richie-furay-cm1-53x53.jpg,39,39,11,down,1980-01-05,
88,Love Pains,Yvonne Elliman,Not supported yet,41,34,13,down,1980-01-05,
89,I Call Your Name,Switch,https://charts-static.billboard.com/img/1979/10/switch-dn4-53x53.jpg,91,89,10,up,1980-01-05,
90,Let Me Sleep Alone,Cugini,Not supported yet,90,90,3,same,1980-01-05,
91,With You I'm Born Again,Billy Preston & Syreeta,https://charts-static.billboard.com/img/1979/12/billy-preston-9en-53x53.jpg,92,91,5,up,1980-01-05,
92,Holdin' On For Dear Love,Lobo,Not supported yet,93,92,3,up,1980-01-05,
93,Bad Times,Tavares,Not supported yet,,,,new,1980-01-05,
94,Since You Been Gone,Rainbow,Not supported yet,57,57,8,down,1980-01-05,
95,Rainbow Connection,Kermit (Jim Henson),Not supported yet,47,25,17,down,1980-01-05,
96,Rise,Herb Alpert,https://charts-static.billboard.com/img/1979/06/herb-alpert-hn0-53x53.jpg,96,1,24,same,1980-01-05,
97,You Decorated My Life,Kenny Rogers,https://charts-static.billboard.com/img/1979/09/kenny-rogers-vja-53x53.jpg,94,7,18,down,1980-01-05,
98,Dim All The Lights,Donna Summer,https://charts-static.billboard.com/img/1979/08/donna-summer-617-53x53.jpg,50,2,20,down,1980-01-05,
99,TUSK,Fleetwood Mac,https://charts-static.billboard.com/img/1979/10/fleetwood-mac-m6k-53x53.jpg,52,8,14,down,1980-01-05,
100,Message In A Bottle,The Police,https://charts-static.billboard.com/img/1979/11/the-police-yho-53x53.jpg,74,74,7,down,1980-01-05,
1,Escape (The Pina Colada Song),Rupert Holmes,https://charts-static.billboard.com/img/1979/10/rupert-holmes-6iw-53x53.jpg,2,1,13,up,1980-01-12,
2,Rock With You,Michael Jackson,https://charts-static.billboard.com/img/1840/12/michael-jackson-9to-53x53.jpg,3,2,11,up,1980-01-12,
3,Do That To Me One More Time,Captain & Tennille,https://charts-static.billboard.com/img/1979/10/captain-tennille-ft5-53x53.jpg,5,3,13,up,1980-01-12,
4,Send One Your Love,Stevie Wonder,https://charts-static.billboard.com/img/1979/11/stevie-wonder-12f-53x53.jpg,4,4,11,same,1980-01-12,
5,Please Don't Go,KC And The Sunshine Band,https://charts-static.billboard.com/img/1979/08/kc-and-the-sunshine-band-h7q-53x53.jpg,1,1,21,down,1980-01-12,
6,Still,Commodores,https://charts-static.billboard.com/img/1979/09/commodores-lju-53x53.jpg,7,1,16,up,1980-01-12,
7,Coward Of The County,Kenny Rogers,https://charts-static.billboard.com/img/1979/11/kenny-rogers-vja-53x53.jpg,8,7,9,up,1980-01-12,
8,Ladies Night,Kool & The Gang,https://charts-static.billboard.com/img/1979/09/kool-the-gang-bbp-53x53.jpg,9,8,15,up,1980-01-12,
9,We Don't Talk Anymore,Cliff Richard,https://charts-static.billboard.com/img/1979/10/cliff-richard-uyb-53x53.jpg,10,9,13,up,1980-01-12,
10,Babe,Styx,https://charts-static.billboard.com/img/1979/10/styx-2ra-53x53.jpg,6,1,15,down,1980-01-12,
11,Cool Change,Little River Band,https://charts-static.billboard.com/img/1979/10/little-river-band-45x-53x53.jpg,11,11,13,same,1980-01-12,
12,Cruisin',Smokey Robinson,https://charts-static.billboard.com/img/1979/10/smokey-robinson-ktg-53x53.jpg,12,12,15,same,1980-01-12,
13,The Long Run,Eagles,https://charts-static.billboard.com/img/1979/12/eagles-520-53x53.jpg,13,13,6,same,1980-01-12,
14,Better Love Next Time,Dr. Hook,https://charts-static.billboard.com/img/1979/10/dr-hook-oph-53x53.jpg,15,14,14,up,1980-01-12,
15,Jane,Jefferson Starship,https://charts-static.billboard.com/img/1979/11/starship-djg-53x53.jpg,16,15,11,up,1980-01-12,
16,I Wanna Be Your Lover,Prince,https://charts-static.billboard.com/img/1979/09/prince-vp8-53x53.jpg,17,16,8,up,1980-01-12,
17,This Is It,Kenny Loggins,https://charts-static.billboard.com/img/1979/10/kenny-loggins-dn7-53x53.jpg,18,17,13,up,1980-01-12,
18,Head Games,Foreigner,https://charts-static.billboard.com/img/1979/11/foreigner-kky-53x53.jpg,14,14,10,down,1980-01-12,
19,Don't Do Me Like That,Tom Petty And The Heartbreakers,https://charts-static.billboard.com/img/1979/11/tom-petty-and-the-heartbreakers-eog-53x53.jpg,22,19,9,up,1980-01-12,
20,Sara,Fleetwood Mac,https://charts-static.billboard.com/img/1979/12/fleetwood-mac-m6k-53x53.jpg,25,20,5,up,1980-01-12,
21,Wait For Me,Daryl Hall John Oates,Not supported yet,23,21,12,up,1980-01-12,
22,Don't Let Go,Isaac Hayes,https://charts-static.billboard.com/img/1979/10/isaac-hayes-4y9-53x53.jpg,24,22,12,up,1980-01-12,
23,You're Only Lonely,J.D. Souther,https://charts-static.billboard.com/img/1979/09/jd-souther-nyl-53x53.jpg,20,7,19,down,1980-01-12,
24,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,https://charts-static.billboard.com/img/1979/10/barbra-streisand-2i4-53x53.jpg,21,1,13,down,1980-01-12,
25,I Want You Tonight,Pablo Cruise,https://charts-static.billboard.com/img/1979/10/pablo-cruise-61d-53x53.jpg,19,19,14,down,1980-01-12,
26,Third Time Lucky (First Time I Was A Fool),Foghat,https://charts-static.billboard.com/img/1979/11/foghat-kmf-53x53.jpg,28,26,9,up,1980-01-12,
27,Deja Vu,Dionne Warwick,https://charts-static.billboard.com/img/1979/10/dionne-warwick-6mm-53x53.jpg,29,27,10,up,1980-01-12,
28,"Yes, I'm Ready",Teri DeSario With K.C.,Not supported yet,31,28,9,up,1980-01-12,
29,Chiquitita,ABBA,https://charts-static.billboard.com/img/1979/11/abba-wwl-53x53.jpg,30,29,10,up,1980-01-12,
30,Crazy Little Thing Called Love,Queen,https://charts-static.billboard.com/img/1979/12/queen-m21-53x53.jpg,43,30,4,up,1980-01-12,
31,Romeo's Tune,Steve Forbert,https://charts-static.billboard.com/img/1979/12/steve-forbert-rc1-53x53.jpg,35,31,7,up,1980-01-12,
32,Rotation,Herb Alpert,https://charts-static.billboard.com/img/1979/11/herb-alpert-hn0-53x53.jpg,36,32,9,up,1980-01-12,
33,An American Dream,The Dirt Band,Not supported yet,59,33,6,up,1980-01-12,
34,Savannah Nights,Tom Johnston,https://charts-static.billboard.com/img/1979/11/tom-johnston-129-53x53.jpg,41,34,9,up,1980-01-12,
35,Take The Long Way Home,Supertramp,https://charts-static.billboard.com/img/1979/10/supertramp-b14-53x53.jpg,26,10,14,down,1980-01-12,
36,Rapper's Delight,Sugarhill Gang,Not supported yet,37,36,10,up,1980-01-12,
37,Forever Mine,The O'Jays,https://charts-static.billboard.com/img/1979/11/the-ojays-vzm-53x53.jpg,40,37,8,up,1980-01-12,
38,I'd Rather Leave While I'm In Love,Rita Coolidge,https://charts-static.billboard.com/img/1979/11/rita-coolidge-j0p-53x53.jpg,39,38,9,up,1980-01-12,
39,"Train, Train",Blackfoot,Not supported yet,38,38,13,down,1980-01-12,
40,Fool In The Rain,Led Zeppelin,https://charts-static.billboard.com/img/1979/12/led-zeppelin-baq-53x53.jpg,42,40,4,up,1980-01-12,
41,Voices,Cheap Trick,https://charts-static.billboard.com/img/1979/12/cheap-trick-jcq-53x53.jpg,44,41,6,up,1980-01-12,
42,Why Me,Styx,https://charts-static.billboard.com/img/1979/12/styx-2ra-53x53.jpg,45,42,5,up,1980-01-12,
43,You Know That I Love You,Santana,https://charts-static.billboard.com/img/1979/11/santana-fo5-53x53.jpg,46,43,8,up,1980-01-12,
44,Do You Love What You Feel,Rufus And Chaka Khan,https://charts-static.billboard.com/img/1840/12/chaka-khan-kwe-53x53.jpg,48,44,8,up,1980-01-12,
45,She's In Love With You,Suzi Quatro,https://charts-static.billboard.com/img/1979/11/suzi-quatro-x8u-53x53.jpg,47,45,8,up,1980-01-12,
46,Daydream Believer,Anne Murray,https://charts-static.billboard.com/img/1979/12/anne-murray-zsk-53x53.jpg,56,46,4,up,1980-01-12,
47,Damned If I Do,The Alan Parsons Project,https://charts-static.billboard.com/img/1979/09/the-alan-parsons-project-yu1-53x53.jpg,27,27,16,down,1980-01-12,
48,Lonely Eyes,Robert John,Not supported yet,50,48,6,up,1980-01-12,
49,Lost Her In The Sun,John Stewart,https://charts-static.billboard.com/img/1979/12/john-stewart-zom-53x53.jpg,51,49,6,up,1980-01-12,
50,Last Train To London,Electric Light Orchestra,https://charts-static.billboard.com/img/1979/12/electric-light-orchestra-jef-53x53.jpg,53,50,6,up,1980-01-12,
51,September Morn',Neil Diamond,https://charts-static.billboard.com/img/1979/12/neil-diamond-4va-53x53.jpg,54,51,4,up,1980-01-12,
52,Dig The Gold,Joyce Cobb,Not supported yet,52,52,8,same,1980-01-12,
53,Money,The Flying Lizards,https://charts-static.billboard.com/img/1979/12/the-flying-lizards-cyc-53x53.jpg,55,53,7,up,1980-01-12,
54,Wonderland,Commodores,https://charts-static.billboard.com/img/1979/12/commodores-lju-53x53.jpg,58,54,5,up,1980-01-12,
55,Longer,Dan Fogelberg,https://charts-static.billboard.com/img/1979/12/dan-fogelberg-4ox-53x53.jpg,67,55,5,up,1980-01-12,
56,Dirty Water,The Inmates,https://charts-static.billboard.com/img/1979/12/the-inmates-ofd-53x53.jpg,60,56,6,up,1980-01-12,
57,Move Your Boogie Body,Bar-Kays,https://charts-static.billboard.com/img/1979/10/bar-kays-mxw-53x53.jpg,57,57,6,same,1980-01-12,
58,"Working My Way Back To You/Forgive Me, Girl",The Spinners,https://charts-static.billboard.com/img/1979/10/the-spinners-2yh-53x53.jpg,62,58,5,up,1980-01-12,
59,Pop Muzik,M,https://charts-static.billboard.com/img/1979/08/m-p9v-53x53.jpg,32,1,23,down,1980-01-12,
60,Looks Like Love Again,Dann Rogers,Not supported yet,61,60,5,up,1980-01-12,
61,When I Wanted You,Barry Manilow,https://charts-static.billboard.com/img/1979/12/barry-manilow-0ni-53x53.jpg,66,61,5,up,1980-01-12,
62,Stargazer,Peter Brown,Not supported yet,68,62,5,up,1980-01-12,
63,Glide,Pleasure,Not supported yet,63,63,6,same,1980-01-12,
64,Heartbreaker,Pat Benatar,https://charts-static.billboard.com/img/1979/12/pat-benatar-lo1-53x53.jpg,65,64,4,up,1980-01-12,
65,99,Toto,https://charts-static.billboard.com/img/1979/12/toto-ful-53x53.jpg,73,65,4,up,1980-01-12,
66,Memorize Your Number,Leif Garrett,https://charts-static.billboard.com/img/1979/12/leif-garrett-tjn-53x53.jpg,70,66,5,up,1980-01-12,
67,The Second Time Around,Shalamar,https://charts-static.billboard.com/img/1979/09/shalamar-zos-53x53.jpg,74,67,6,up,1980-01-12,
68,Star,"Earth, Wind & Fire",https://charts-static.billboard.com/img/1979/12/earth-wind-fire-tue-53x53.jpg,71,68,4,up,1980-01-12,
69,I Need A Lover,John Cougar,https://charts-static.billboard.com/img/1979/10/john-mellencamp-tnp-53x53.jpg,69,28,14,same,1980-01-12,
70,Can We Still Be Friends,Robert Palmer,https://charts-static.billboard.com/img/1979/12/robert-palmer-i8q-53x53.jpg,72,70,4,up,1980-01-12,
71,I Don't Want To Talk About It,Rod Stewart,https://charts-static.billboard.com/img/1979/12/rod-stewart-icm-53x53.jpg,76,71,4,up,1980-01-12,
72,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,Not supported yet,77,72,4,up,1980-01-12,
73,You're Gonna Get What's Coming,Bonnie Raitt,https://charts-static.billboard.com/img/1979/12/bonnie-raitt-kcr-53x53.jpg,75,73,6,up,1980-01-12,
74,Volcano,Jimmy Buffett,https://charts-static.billboard.com/img/1979/12/jimmy-buffett-d7l-53x53.jpg,80,74,4,up,1980-01-12,
75,Shooting Star,Dollar,Not supported yet,78,75,4,up,1980-01-12,
76,Flirtin' With Disaster,Molly Hatchet,https:https://charts-static.billboard.com/img/1980/01/molly-hatchet-2q8-53x53.jpg,83,76,2,up,1980-01-12,
77,Don't Make Me Over,Jennifer Warnes,https://charts-static.billboard.com/img/1979/12/jennifer-warnes-hfm-53x53.jpg,79,77,4,up,1980-01-12,
78,Make Believe It's Your First Time,Bobby Vinton,https://charts-static.billboard.com/img/1979/11/bobby-vinton-8lg-53x53.jpg,85,78,2,up,1980-01-12,
79,Goodnight My Love,Mike Pinera,https://charts-static.billboard.com/img/1980/01/mike-pinera-cd7-53x53.jpg,86,79,2,up,1980-01-12,
80,I'm Alive,Gamma,Not supported yet,81,80,2,up,1980-01-12,
81,Too Late,Journey,Not supported yet,,,,new,1980-01-12,
82,"Let Me Go, Love",Nicolette Larson & Michael McDonald,Not supported yet,,,,new,1980-01-12,
83,Video Killed The Radio Star,The Buggles,Not supported yet,84,40,10,up,1980-01-12,
84,Remember (Walking In The Sand),Aerosmith,Not supported yet,,,,new,1980-01-12,
85,Half The Way,Crystal Gayle,https://charts-static.billboard.com/img/1979/09/crystal-gayle-sqh-53x53.jpg,33,15,16,down,1980-01-12,
86,On The Radio,Donna Summer,Not supported yet,,,,new,1980-01-12,
87,I Call Your Name,Switch,https://charts-static.billboard.com/img/1979/10/switch-dn4-53x53.jpg,89,87,11,up,1980-01-12,
88,Let Me Sleep Alone,Cugini,Not supported yet,90,88,4,up,1980-01-12,
89,Holdin' On For Dear Love,Lobo,Not supported yet,92,89,4,up,1980-01-12,
90,Kiss Me In The Rain,Barbra Streisand,Not supported yet,,,,new,1980-01-12,
91,With You I'm Born Again,Billy Preston & Syreeta,https://charts-static.billboard.com/img/1979/12/billy-preston-9en-53x53.jpg,91,91,6,same,1980-01-12,
92,Broken Hearted Me,Anne Murray,https://charts-static.billboard.com/img/1979/09/anne-murray-zsk-53x53.jpg,82,12,17,down,1980-01-12,
93,Trust Me,Cindy Bullens,Not supported yet,,,,new,1980-01-12,
94,Rise,Herb Alpert,https://charts-static.billboard.com/img/1979/06/herb-alpert-hn0-53x53.jpg,96,1,25,up,1980-01-12,
95,Bad Times,Tavares,https://charts-static.billboard.com/img/1980/01/tavares-q28-53x53.jpg,93,93,2,down,1980-01-12,
96,Takin' It Back,Breathless,Not supported yet,,,,new,1980-01-12,
97,TUSK,Fleetwood Mac,https://charts-static.billboard.com/img/1979/10/fleetwood-mac-m6k-53x53.jpg,99,8,15,up,1980-01-12,
98,Dim All The Lights,Donna Summer,https://charts-static.billboard.com/img/1979/08/donna-summer-617-53x53.jpg,98,2,21,same,1980-01-12,
99,Heartache Tonight,Eagles,https://charts-static.billboard.com/img/1979/10/eagles-520-53x53.jpg,34,1,15,down,1980-01-12,
100,Ships,Barry Manilow,https://charts-static.billboard.com/img/1979/10/barry-manilow-0ni-53x53.jpg,64,9,14,down,1980-01-12,
1,Rock With You,Michael Jackson,https://charts-static.billboard.com/img/1840/12/michael-jackson-9to-53x53.jpg,2,1,12,up,1980-01-19,
2,Do That To Me One More Time,Captain & Tennille,https://charts-static.billboard.com/img/1979/10/captain-tennille-ft5-53x53.jpg,3,2,14,up,1980-01-19,
3,Escape (The Pina Colada Song),Rupert Holmes,https://charts-static.billboard.com/img/1979/10/rupert-holmes-6iw-53x53.jpg,1,1,14,down,1980-01-19,
4,Coward Of The County,Kenny Rogers,https://charts-static.billboard.com/img/1979/11/kenny-rogers-vja-53x53.jpg,7,4,10,up,1980-01-19,
5,Send One Your Love,Stevie Wonder,https://charts-static.billboard.com/img/1979/11/stevie-wonder-12f-53x53.jpg,4,4,12,down,1980-01-19,
6,Cruisin',Smokey Robinson,https://charts-static.billboard.com/img/1979/10/smokey-robinson-ktg-53x53.jpg,12,6,16,up,1980-01-19,
7,We Don't Talk Anymore,Cliff Richard,https://charts-static.billboard.com/img/1979/10/cliff-richard-uyb-53x53.jpg,9,7,14,up,1980-01-19,
8,Ladies Night,Kool & The Gang,https://charts-static.billboard.com/img/1979/09/kool-the-gang-bbp-53x53.jpg,8,8,16,same,1980-01-19,
9,Please Don't Go,KC And The Sunshine Band,https://charts-static.billboard.com/img/1979/08/kc-and-the-sunshine-band-h7q-53x53.jpg,5,1,22,down,1980-01-19,
10,Cool Change,Little River Band,https://charts-static.billboard.com/img/1979/10/little-river-band-45x-53x53.jpg,11,10,14,up,1980-01-19,
11,The Long Run,Eagles,https://charts-static.billboard.com/img/1979/12/eagles-520-53x53.jpg,13,11,7,up,1980-01-19,
