rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
7,Whoomp! (There It Is),Tag Team,https://charts-static.billboard.com/img/1840/12/tag-team-0qz-53x53.jpg,,11,2,33,up,1994-01-08
8,What's My Name?,Snoop Dogg,https://charts-static.billboard.com/img/1993/10/snoop-dogg-7vk-53x53.jpg,,8,8,6,same,1994-01-08
9,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,https://charts-static.billboard.com/img/1993/09/meat-loaf-ocu-53x53.jpg,,5,1,17,down,1994-01-08
10,Said I Loved You...But I Lied,Michael Bolton,https://charts-static.billboard.com/img/1993/11/michael-bolton-hcc-53x53.jpg,,9,9,10,down,1994-01-08
11,Can We Talk,Tevin Campbell,https://charts-static.billboard.com/img/1840/12/tevin-campbell-zoh-53x53.jpg,,13,10,13,up,1994-01-08
12,Keep Ya Head Up,2Pac,https://charts-static.billboard.com/img/1993/10/2pac-asm-53x53.jpg,,14,12,11,up,1994-01-08
13,Shoop,Salt-N-Pepa,https://charts-static.billboard.com/img/1993/09/salt-n-pepa-8w9-53x53.jpg,,10,4,14,down,1994-01-08
14,Please Forgive Me,Bryan Adams,https://charts-static.billboard.com/img/1993/10/bryan-adams-xrt-53x53.jpg,,12,7,12,down,1994-01-08
15,Just Kickin' It,Xscape,https://charts-static.billboard.com/img/1993/09/xscape-xav-53x53.jpg,,15,2,17,same,1994-01-08
16,Linger,The Cranberries,https://charts-static.billboard.com/img/1993/09/the-cranberries-gie-53x53.jpg,,16,16,12,same,1994-01-08
17,Getto Jam,Domino,https://charts-static.billboard.com/img/1993/10/domino-337-53x53.jpg,,17,17,7,same,1994-01-08
18,Cry For You,Jodeci,https://charts-static.billboard.com/img/1993/11/jodeci-bbm-53x53.jpg,,18,18,7,same,1994-01-08
19,The Power Of Love,Celine Dion,https://charts-static.billboard.com/img/1993/11/celine-dion-0hi-53x53.jpg,,22,19,7,up,1994-01-08
20,Mr. Vain,Culture Beat,https://charts-static.billboard.com/img/1993/10/culture-beat-8hf-53x53.jpg,,20,20,10,same,1994-01-08
21,Never Keeping Secrets,Babyface,https://charts-static.billboard.com/img/1993/09/babyface-isu-53x53.jpg,,21,21,12,same,1994-01-08
22,Because The Night,"10,000 Maniacs",https://charts-static.billboard.com/img/1993/10/10000-maniacs-52b-53x53.jpg,,19,18,10,down,1994-01-08
23,Understanding,Xscape,https://charts-static.billboard.com/img/1993/11/xscape-xav-53x53.jpg,,46,23,3,up,1994-01-08
24,"I Can See Clearly Now (From ""Cool Runnings"")",Jimmy Cliff,https://charts-static.billboard.com/img/1993/10/jimmy-cliff-v63-53x53.jpg,,23,23,10,down,1994-01-08
25,U.N.I.T.Y.,Queen Latifah,https://charts-static.billboard.com/img/1993/11/queen-latifah-ax2-53x53.jpg,,28,25,7,up,1994-01-08
26,Come Baby Come,K7,Not supported yet,,26,18,19,same,1994-01-08
27,What Is Love,Haddaway,https://charts-static.billboard.com/img/1993/07/haddaway-1id-53x53.jpg,,24,11,20,down,1994-01-08
28,Dreams,Gabrielle,https://charts-static.billboard.com/img/1993/09/gabrielle-jw8-53x53.jpg,,29,28,14,up,1994-01-08
29,Sex Me (Parts I & II),R. Kelly,https://charts-static.billboard.com/img/1993/10/r-kelly-ct9-53x53.jpg,,27,20,11,down,1994-01-08
