rank,title,artist,image,last week,peak position,weeks on chart,detail,date,weeks at no.1
15,Paparazzi,Lady Gaga,https://charts-static.billboard.com/img/2009/06/lady-gaga-gyl-53x53.jpg,11,6,17,down,2010-01-02,
16,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,14,8,14,down,2010-01-02,
17,Sweet Dreams,Beyonce,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg,12,10,22,down,2010-01-02,
18,Already Gone,Kelly Clarkson,https://charts-static.billboard.com/img/2009/03/kelly-clarkson-091-53x53.jpg,15,13,21,down,2010-01-02,
19,Party In The U.S.A.,Miley Cyrus,https://charts-static.billboard.com/img/2009/08/miley-cyrus-clj-53x53.jpg,17,2,19,down,2010-01-02,
20,I Gotta Feeling,The Black Eyed Peas,https://charts-static.billboard.com/img/1840/12/the-black-eyed-peas-99h-53x53.jpg,18,1,28,down,2010-01-02,
21,Need You Now,Lady Antebellum,https://charts-static.billboard.com/img/2017/07/lady-antebellum-53x53.jpg,19,5,19,down,2010-01-02,
22,You Belong With Me,Taylor Swift,https:https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,22,2,35,same,2010-01-02,
23,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,https://charts-static.billboard.com/img/2009/09/boys-like-girls-9nc-53x53.jpg,28,23,9,up,2010-01-02,
24,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,https://charts-static.billboard.com/img/2009/10/chris-brown-cte-53x53.jpg,24,20,11,same,2010-01-02,
25,Use Somebody,Kings Of Leon,https://charts-static.billboard.com/img/2016/11/kings-of-leon-53x53.jpg,23,4,47,down,2010-01-02,
26,Money To Blow,Birdman Featuring Lil Wayne & Drake,https://charts-static.billboard.com/img/2009/09/birdman-ium-53x53.jpg,26,26,11,same,2010-01-02,
27,Try Sleeping With A Broken Heart,Alicia Keys,https://charts-static.billboard.com/img/2009/11/alicia-keys-xkr-53x53.jpg,56,27,5,up,2010-01-02,
28,Evacuate The Dancefloor,Cascada,https://charts-static.billboard.com/img/2009/07/cascada-tir-53x53.jpg,25,25,19,down,2010-01-02,
29,Hell Breaks Loose,Eminem Featuring Dr. Dre,https://charts-static.billboard.com/img/2010/01/eminem-1xq-53x53.jpg,,,,new,2010-01-02,
30,Fifteen,Taylor Swift,https:https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,27,23,16,down,2010-01-02,
31,Tie Me Down,New Boyz Featuring Ray J,https://charts-static.billboard.com/img/2009/09/new-boyz-ce9-53x53.jpg,33,31,10,up,2010-01-02,
32,"Hey, Soul Sister",Train,https://charts-static.billboard.com/img/2017/05/train-53x53.jpg,45,32,12,up,2010-01-02,
33,Live Like We're Dying,Kris Allen,https://charts-static.billboard.com/img/2009/10/kris-allen-uqg-53x53.jpg,36,33,8,up,2010-01-02,
34,Say Aah,Trey Songz Featuring Fabolous,https://charts-static.billboard.com/img/2009/09/trey-songz-kc8-53x53.jpg,38,34,6,up,2010-01-02,
35,Gangsta Luv,Snoop Dogg Featuring The-Dream,https://charts-static.billboard.com/img/2009/10/snoop-dogg-7vk-53x53.jpg,35,35,9,same,2010-01-02,
36,Baby By Me,50 Cent Featuring Ne-Yo,https://charts-static.billboard.com/img/2009/09/50-cent-9ay-53x53.jpg,29,28,8,down,2010-01-02,
37,Run This Town,"Jay-Z, Rihanna & Kanye West",https://charts-static.billboard.com/img/2009/08/jay-z-gbw-53x53.jpg,32,2,21,down,2010-01-02,
38,Telephone,Lady Gaga Featuring Beyonce,https://charts-static.billboard.com/img/2009/12/lady-gaga-gyl-53x53.jpg,46,30,4,up,2010-01-02,
39,Cowboy Casanova,Carrie Underwood,https://charts-static.billboard.com/img/2009/09/carrie-underwood-ko6-53x53.jpg,30,11,14,down,2010-01-02,
40,Give It Up To Me,Shakira Featuring Lil Wayne,https://charts-static.billboard.com/img/2009/11/shakira-mhe-53x53.jpg,34,29,6,down,2010-01-02,
41,According To You,Orianthi,https://charts-static.billboard.com/img/2009/11/orianthi-16f-53x53.jpg,55,41,3,up,2010-01-02,
42,I Invented Sex,Trey Songz Featuring Drake,https://charts-static.billboard.com/img/2009/08/trey-songz-kc8-53x53.jpg,43,42,9,up,2010-01-02,
43,Do I,Luke Bryan,https://charts-static.billboard.com/img/2009/05/luke-bryan-kl4-53x53.jpg,37,34,16,down,2010-01-02,
44,Fallin' For You,Colbie Caillat,https://charts-static.billboard.com/img/2009/06/colbie-caillat-961-53x53.jpg,39,12,25,down,2010-01-02,
45,Consider Me Gone,Reba,https://charts-static.billboard.com/img/2009/08/reba-mcentire-ivy-53x53.jpg,40,38,12,down,2010-01-02,
46,If You Only Knew,Shinedown,https://charts-static.billboard.com/img/2009/09/shinedown-pjk-53x53.jpg,47,42,8,up,2010-01-02,
47,One Time,Justin Bieber,https://charts-static.billboard.com/img/2009/07/justin-bieber-3jm-53x53.jpg,41,20,22,down,2010-01-02,
48,The Truth,Jason Aldean,https://charts-static.billboard.com/img/2009/10/jason-aldean-jfn-53x53.jpg,48,47,7,same,2010-01-02,
49,It Kills Me,Melanie Fiona,https://charts-static.billboard.com/img/2009/08/melanie-fiona-4tp-53x53.jpg,54,49,5,up,2010-01-02,
50,Southern Voice,Tim McGraw,https://charts-static.billboard.com/img/2009/09/tim-mcgraw-j7r-53x53.jpg,50,49,9,same,2010-01-02,
51,Spotlight,Gucci Mane Featuring Usher,https://charts-static.billboard.com/img/2009/10/gucci-mane-fyx-53x53.jpg,42,42,8,down,2010-01-02,
52,White Liar,Miranda Lambert,https://charts-static.billboard.com/img/2009/09/miranda-lambert-miy-53x53.jpg,49,38,10,down,2010-01-02,
53,Russian Roulette,Rihanna,https://charts-static.billboard.com/img/2009/10/rihanna-v3t-53x53.jpg,44,9,9,down,2010-01-02,
54,Smile,Uncle Kracker,https://charts-static.billboard.com/img/2009/08/uncle-kracker-668-53x53.jpg,58,47,20,up,2010-01-02,
55,Empire State Of Mind (Part II) Broken Down,Alicia Keys,https://charts-static.billboard.com/img/2009/12/alicia-keys-xkr-53x53.jpg,,,,new,2010-01-02,
56,Uprising,Muse,https://charts-static.billboard.com/img/2009/08/muse-wup-uprising-57a-53x53.jpg,66,37,15,up,2010-01-02,
57,I Wanna Make You Close Your Eyes,Dierks Bentley,https://charts-static.billboard.com/img/2009/08/dierks-bentley-yjg-53x53.jpg,52,52,12,down,2010-01-02,
58,Life After You,Daughtry,https://charts-static.billboard.com/img/2009/11/daughtry-uco-53x53.jpg,64,58,3,up,2010-01-02,
59,Carry Out,Timbaland Featuring Justin Timberlake,https://charts-static.billboard.com/img/2009/12/timbaland-3i9-53x53.jpg,31,31,3,down,2010-01-02,
60,One Less Lonely Girl,Justin Bieber,https://charts-static.billboard.com/img/2009/10/justin-bieber-3jm-53x53.jpg,73,16,10,up,2010-01-02,
61,Papers,Usher,https://charts-static.billboard.com/img/2009/10/usher-oqp-53x53.jpg,57,31,10,down,2010-01-02,
62,Never Gonna Be Alone,Nickelback,https://charts-static.billboard.com/img/2008/12/nickelback-5lu-53x53.jpg,61,61,8,down,2010-01-02,
63,Red Light,David Nail,https://charts-static.billboard.com/img/2009/02/david-nail-c32-53x53.jpg,59,54,13,down,2010-01-02,
64,Why Don't We Just Dance,Josh Turner,https://charts-static.billboard.com/img/2017/06/josh-turner-53x53.jpg,75,64,6,up,2010-01-02,
65,I Am,Mary J. Blige,https://charts-static.billboard.com/img/2009/11/mary-j-blige-hn0-53x53.jpg,67,65,2,up,2010-01-02,
66,History In The Making,Darius Rucker,https://charts-static.billboard.com/img/2009/09/darius-rucker-iex-53x53.jpg,70,64,8,up,2010-01-02,
67,Elevator,Eminem,https://charts-static.billboard.com/img/2010/01/eminem-1xq-53x53.jpg,,,,new,2010-01-02,
68,Crawl,Chris Brown,https://charts-static.billboard.com/img/2009/11/chris-brown-cte-53x53.jpg,60,60,4,down,2010-01-02,
69,Shut It Down,Pitbull Featuring Akon,https://charts-static.billboard.com/img/2009/09/pitbull-odu-53x53.jpg,83,69,3,up,2010-01-02,
70,In My Head,Jason Derulo,https://charts-static.billboard.com/img/2009/12/jason-derulo-3xq-53x53.jpg,63,63,2,down,2010-01-02,
71,Haven't Met You Yet,Michael Buble,Not supported yet,74,57,12,up,2010-01-02,
72,Whataya Want From Me,Adam Lambert,https://charts-static.billboard.com/img/2009/12/adam-lambert-00l-53x53.jpg,,,,new,2010-01-02,
73,Eight Second Ride,Jake Owen,https://charts-static.billboard.com/img/2009/06/jake-owen-17q-53x53.jpg,77,70,7,up,2010-01-02,
74,Someday,Rob Thomas,https://charts-static.billboard.com/img/2009/07/rob-thomas-qfd-53x53.jpg,76,72,7,up,2010-01-02,
75,I Wanna Rock,Snoop Dogg,https://charts-static.billboard.com/img/2009/11/snoop-dogg-7vk-53x53.jpg,80,75,2,up,2010-01-02,
76,Bonfire,Craig Morgan,https://charts-static.billboard.com/img/2009/06/craig-morgan-u5x-53x53.jpg,65,57,13,down,2010-01-02,
77,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,https://charts-static.billboard.com/img/2009/06/gucci-mane-fyx-53x53.jpg,68,36,16,down,2010-01-02,
78,All The Right Moves,OneRepublic,https://charts-static.billboard.com/img/2009/10/onerepublic-bjw-53x53.jpg,79,53,11,up,2010-01-02,
79,Sex Therapy,Robin Thicke,https://charts-static.billboard.com/img/2009/10/robin-thicke-cu8-53x53.jpg,,,,new,2010-01-02,
80,Body Language,Jesse McCartney Featuring T-Pain,https://charts-static.billboard.com/img/2009/09/jesse-mccartney-2fg-53x53.jpg,69,35,12,down,2010-01-02,
81,I Will Not Bow,Breaking Benjamin,https://charts-static.billboard.com/img/2009/08/breaking-benjamin-rch-53x53.jpg,81,40,16,same,2010-01-02,
82,Break,Three Days Grace,https://charts-static.billboard.com/img/2009/09/three-days-grace-a00-53x53.jpg,84,82,15,up,2010-01-02,
83,Bad Habits,Maxwell,https://charts-static.billboard.com/img/2009/06/maxwell-ks6-53x53.jpg,78,71,13,down,2010-01-02,
84,On Fire,Lil Wayne,https://charts-static.billboard.com/img/2009/12/lil-wayne-9q6-53x53.jpg,62,62,2,down,2010-01-02,
85,Heartbreak Warfare,John Mayer,https://charts-static.billboard.com/img/2009/12/john-mayer-4ke-53x53.jpg,-,85,2,re-entry,2010-01-02,
86,American Saturday Night,Brad Paisley,https://charts-static.billboard.com/img/2009/07/brad-paisley-ws4-53x53.jpg,90,86,3,up,2010-01-02,
87,That's How Country Boys Roll,Billy Currington,https://charts-static.billboard.com/img/2009/09/billy-currington-kzk-53x53.jpg,85,85,4,down,2010-01-02,
88,Cryin' For Me (Wayman's Song),Toby Keith,https://charts-static.billboard.com/img/2009/10/toby-keith-5au-53x53.jpg,91,88,3,up,2010-01-02,
89,Breakeven,The Script,https://charts-static.billboard.com/img/2017/07/the-script-53x53.jpg,93,89,3,up,2010-01-02,
90,1901,Phoenix,https://charts-static.billboard.com/img/2009/06/phoenix-nd2-53x53.jpg,87,87,3,down,2010-01-02,
91,Halfway Gone,Lifehouse,https://charts-static.billboard.com/img/2009/11/lifehouse-ekp-53x53.jpg,99,91,2,up,2010-01-02,
92,Gettin' You Home,Chris Young,https://charts-static.billboard.com/img/2009/02/chris-young-obk-53x53.jpg,86,33,19,down,2010-01-02,
93,Imma Be,The Black Eyed Peas,https://charts-static.billboard.com/img/2009/06/the-black-eyed-peas-b9u-53x53.jpg,-,50,3,re-entry,2010-01-02,
94,Hey Daddy (Daddy's Home),Usher Featuring Plies,https://charts-static.billboard.com/img/2009/12/usher-oqp-53x53.jpg,,,,new,2010-01-02,
95,(If You're Wondering If I Want You To) I Want You To,Weezer,https://charts-static.billboard.com/img/2009/09/weezer-715-53x53.jpg,95,81,8,same,2010-01-02,
96,Kings And Queens,Thirty Seconds To Mars,https://charts-static.billboard.com/img/2009/10/thirty-seconds-to-mars-q9v-53x53.jpg,82,82,4,down,2010-01-02,
97,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,96,40,14,down,2010-01-02,
98,I Get It In,Omarion Featuring Gucci Mane,https:https://charts-static.billboard.com/img/2009/09/omarion-3ri-53x53.jpg,92,83,7,down,2010-01-02,
99,Drop It Low,Ester Dean Featuring Chris Brown,https://charts-static.billboard.com/img/2009/08/ester-dean-isl-53x53.jpg,98,38,15,down,2010-01-02,
100,Video Phone,Beyonce Featuring Lady Gaga,https://charts-static.billboard.com/img/2008/11/beyonce-1sm-53x53.jpg,97,65,4,down,2010-01-02,
1,TiK ToK,Ke$ha,https://charts-static.billboard.com/img/1840/12/kesha-iom-53x53.jpg,1,1,12,same,2010-01-09,2
2,Replay,Iyaz,https://charts-static.billboard.com/img/2009/08/iyaz-a7g-53x53.jpg,4,2,19,up,2010-01-09,
3,Bad Romance,Lady Gaga,https://charts-static.billboard.com/img/2009/11/lady-gaga-gyl-53x53.jpg,3,2,9,same,2010-01-09,
4,Fireflies,Owl City,https://charts-static.billboard.com/img/2009/08/owl-city-1t0-53x53.jpg,5,1,19,up,2010-01-09,
5,Empire State Of Mind,Jay-Z + Alicia Keys,https://charts-static.billboard.com/img/2009/09/jay-z-gbw-53x53.jpg,2,1,16,down,2010-01-09,
6,Whatcha Say,Jason Derulo,https://charts-static.billboard.com/img/2009/07/jason-derulo-3xq-53x53.jpg,7,1,20,up,2010-01-09,
7,Down,Jay Sean Featuring Lil Wayne,https://charts-static.billboard.com/img/2009/07/jay-sean-fk9-53x53.jpg,8,1,26,up,2010-01-09,
8,Party In The U.S.A.,Miley Cyrus,https://charts-static.billboard.com/img/2009/08/miley-cyrus-clj-53x53.jpg,19,2,20,up,2010-01-09,
9,Sexy Chick,David Guetta Featuring Akon,https://charts-static.billboard.com/img/2009/08/david-guetta-z71-53x53.jpg,6,6,21,down,2010-01-09,
10,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,https://charts-static.billboard.com/img/2009/11/jay-sean-fk9-53x53.jpg,14,10,8,up,2010-01-09,
11,Meet Me Halfway,The Black Eyed Peas,https://charts-static.billboard.com/img/2009/06/the-black-eyed-peas-b9u-53x53.jpg,9,7,15,down,2010-01-09,
12,BedRock,Young Money Featuring Lloyd,https://charts-static.billboard.com/img/2009/10/young-money-7wj-53x53.jpg,12,12,5,same,2010-01-09,
13,3,Britney Spears,https://charts-static.billboard.com/img/2009/10/britney-spears-s89-53x53.jpg,10,1,12,down,2010-01-09,
14,I Gotta Feeling,The Black Eyed Peas,https://charts-static.billboard.com/img/1840/12/the-black-eyed-peas-99h-53x53.jpg,20,1,29,up,2010-01-09,
15,Paparazzi,Lady Gaga,https://charts-static.billboard.com/img/2009/06/lady-gaga-gyl-53x53.jpg,15,6,18,same,2010-01-09,
16,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,16,8,15,same,2010-01-09,
17,One Time,Justin Bieber,https://charts-static.billboard.com/img/2009/07/justin-bieber-3jm-53x53.jpg,47,17,23,up,2010-01-09,
18,Hard,Rihanna Featuring Jeezy,https://charts-static.billboard.com/img/2009/11/rihanna-v3t-53x53.jpg,11,11,6,down,2010-01-09,
19,You Belong With Me,Taylor Swift,https:https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,22,2,36,up,2010-01-09,
20,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,https://charts-static.billboard.com/img/2009/09/boys-like-girls-9nc-53x53.jpg,23,20,10,up,2010-01-09,
21,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,https://charts-static.billboard.com/img/2009/10/chris-brown-cte-53x53.jpg,24,20,12,up,2010-01-09,
22,Need You Now,Lady Antebellum,https://charts-static.billboard.com/img/2017/07/lady-antebellum-53x53.jpg,21,5,20,down,2010-01-09,
23,How Low,Ludacris,https://charts-static.billboard.com/img/2009/11/ludacris-5cn-53x53.jpg,13,13,3,down,2010-01-09,
24,Sweet Dreams,Beyonce,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg,17,10,23,down,2010-01-09,
25,Fifteen,Taylor Swift,https:https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,30,23,17,up,2010-01-09,
26,Tie Me Down,New Boyz Featuring Ray J,https://charts-static.billboard.com/img/2009/09/new-boyz-ce9-53x53.jpg,31,26,11,up,2010-01-09,
27,Evacuate The Dancefloor,Cascada,https://charts-static.billboard.com/img/2009/07/cascada-tir-53x53.jpg,28,25,20,up,2010-01-09,
28,Already Gone,Kelly Clarkson,https://charts-static.billboard.com/img/2009/03/kelly-clarkson-091-53x53.jpg,18,13,22,down,2010-01-09,
29,Cowboy Casanova,Carrie Underwood,https://charts-static.billboard.com/img/2009/09/carrie-underwood-ko6-53x53.jpg,39,11,15,up,2010-01-09,
30,One Less Lonely Girl,Justin Bieber,https://charts-static.billboard.com/img/2009/10/justin-bieber-3jm-53x53.jpg,60,16,11,up,2010-01-09,
31,Run This Town,"Jay-Z, Rihanna & Kanye West",https://charts-static.billboard.com/img/2009/08/jay-z-gbw-53x53.jpg,37,2,22,up,2010-01-09,
32,Live Like We're Dying,Kris Allen,https://charts-static.billboard.com/img/2009/10/kris-allen-uqg-53x53.jpg,33,32,9,up,2010-01-09,
33,Money To Blow,Birdman Featuring Lil Wayne & Drake,https://charts-static.billboard.com/img/2009/09/birdman-ium-53x53.jpg,26,26,12,down,2010-01-09,
34,"Hey, Soul Sister",Train,https://charts-static.billboard.com/img/2017/05/train-53x53.jpg,32,32,13,down,2010-01-09,
35,Use Somebody,Kings Of Leon,https://charts-static.billboard.com/img/2016/11/kings-of-leon-53x53.jpg,25,4,48,down,2010-01-09,
36,According To You,Orianthi,https://charts-static.billboard.com/img/2009/11/orianthi-16f-53x53.jpg,41,36,4,up,2010-01-09,
37,Telephone,Lady Gaga Featuring Beyonce,https://charts-static.billboard.com/img/2009/12/lady-gaga-gyl-53x53.jpg,38,30,5,up,2010-01-09,
38,Fallin' For You,Colbie Caillat,https://charts-static.billboard.com/img/2009/06/colbie-caillat-961-53x53.jpg,44,12,26,up,2010-01-09,
39,Naturally,Selena Gomez & The Scene,https://charts-static.billboard.com/img/2009/10/selena-gomez-scg-53x53.jpg,,,,new,2010-01-09,
40,Give It Up To Me,Shakira Featuring Lil Wayne,https://charts-static.billboard.com/img/2009/11/shakira-mhe-53x53.jpg,40,29,7,same,2010-01-09,
41,Gangsta Luv,Snoop Dogg Featuring The-Dream,https://charts-static.billboard.com/img/2009/10/snoop-dogg-7vk-53x53.jpg,35,35,10,down,2010-01-09,
42,Say Aah,Trey Songz Featuring Fabolous,https://charts-static.billboard.com/img/2009/09/trey-songz-kc8-53x53.jpg,34,34,7,down,2010-01-09,
43,Russian Roulette,Rihanna,https://charts-static.billboard.com/img/2009/10/rihanna-v3t-53x53.jpg,53,9,10,up,2010-01-09,
44,Smile,Uncle Kracker,https://charts-static.billboard.com/img/2009/08/uncle-kracker-668-53x53.jpg,54,44,21,up,2010-01-09,
45,Body Language,Jesse McCartney Featuring T-Pain,https://charts-static.billboard.com/img/2009/09/jesse-mccartney-2fg-53x53.jpg,80,35,13,up,2010-01-09,
46,Baby By Me,50 Cent Featuring Ne-Yo,https://charts-static.billboard.com/img/2009/09/50-cent-9ay-53x53.jpg,36,28,9,down,2010-01-09,
47,If You Only Knew,Shinedown,https://charts-static.billboard.com/img/2009/09/shinedown-pjk-53x53.jpg,46,42,9,down,2010-01-09,
48,Steady Mobbin',Young Money Featuring Gucci Mane,https://charts-static.billboard.com/img/2009/09/young-money-7wj-53x53.jpg,,,,new,2010-01-09,
49,White Liar,Miranda Lambert,https://charts-static.billboard.com/img/2009/09/miranda-lambert-miy-53x53.jpg,52,38,11,up,2010-01-09,
50,Do I,Luke Bryan,https://charts-static.billboard.com/img/2009/05/luke-bryan-kl4-53x53.jpg,43,34,17,down,2010-01-09,
51,Uprising,Muse,https://charts-static.billboard.com/img/2009/08/muse-wup-uprising-57a-53x53.jpg,56,37,16,up,2010-01-09,
52,Spotlight,Gucci Mane Featuring Usher,https://charts-static.billboard.com/img/2009/10/gucci-mane-fyx-53x53.jpg,51,42,9,down,2010-01-09,
53,Crawl,Chris Brown,https://charts-static.billboard.com/img/2009/11/chris-brown-cte-53x53.jpg,68,53,5,up,2010-01-09,
54,The Truth,Jason Aldean,https://charts-static.billboard.com/img/2009/10/jason-aldean-jfn-53x53.jpg,48,47,8,down,2010-01-09,
55,Try Sleeping With A Broken Heart,Alicia Keys,https://charts-static.billboard.com/img/2009/11/alicia-keys-xkr-53x53.jpg,27,27,6,down,2010-01-09,
56,All The Right Moves,OneRepublic,https://charts-static.billboard.com/img/2009/10/onerepublic-bjw-53x53.jpg,78,53,12,up,2010-01-09,
57,Life After You,Daughtry,https://charts-static.billboard.com/img/2009/11/daughtry-uco-53x53.jpg,58,57,4,up,2010-01-09,
58,Never Gonna Be Alone,Nickelback,https://charts-static.billboard.com/img/2008/12/nickelback-5lu-53x53.jpg,62,58,9,up,2010-01-09,
59,In My Head,Jason Derulo,https://charts-static.billboard.com/img/2009/12/jason-derulo-3xq-53x53.jpg,70,59,3,up,2010-01-09,
60,Southern Voice,Tim McGraw,https://charts-static.billboard.com/img/2009/09/tim-mcgraw-j7r-53x53.jpg,50,49,10,down,2010-01-09,
61,Consider Me Gone,Reba,https://charts-static.billboard.com/img/2009/08/reba-mcentire-ivy-53x53.jpg,45,38,13,down,2010-01-09,
62,I Invented Sex,Trey Songz Featuring Drake,https://charts-static.billboard.com/img/2009/08/trey-songz-kc8-53x53.jpg,42,42,10,down,2010-01-09,
63,Haven't Met You Yet,Michael Buble,Not supported yet,71,57,13,up,2010-01-09,
64,I Will Not Bow,Breaking Benjamin,https://charts-static.billboard.com/img/2009/08/breaking-benjamin-rch-53x53.jpg,81,40,17,up,2010-01-09,
65,Hillbilly Bone,Blake Shelton Featuring Trace Adkins,https://charts-static.billboard.com/img/2009/10/blake-shelton-22w-53x53.jpg,,,,new,2010-01-09,
66,Imma Be,The Black Eyed Peas,https://charts-static.billboard.com/img/2009/06/the-black-eyed-peas-b9u-53x53.jpg,93,50,4,up,2010-01-09,
67,I Am,Mary J. Blige,https://charts-static.billboard.com/img/2009/11/mary-j-blige-hn0-53x53.jpg,65,65,3,down,2010-01-09,
68,Whataya Want From Me,Adam Lambert,https://charts-static.billboard.com/img/2009/12/adam-lambert-00l-53x53.jpg,72,68,2,up,2010-01-09,
69,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,97,40,15,up,2010-01-09,
70,It Kills Me,Melanie Fiona,https://charts-static.billboard.com/img/2009/08/melanie-fiona-4tp-53x53.jpg,49,49,6,down,2010-01-09,
71,Carry Out,Timbaland Featuring Justin Timberlake,https://charts-static.billboard.com/img/2009/12/timbaland-3i9-53x53.jpg,59,31,4,down,2010-01-09,
72,Vanilla Twilight,Owl City,https://charts-static.billboard.com/img/2009/08/owl-city-1t0-53x53.jpg,-,72,2,re-entry,2010-01-09,
73,Break,Three Days Grace,https://charts-static.billboard.com/img/2009/09/three-days-grace-a00-53x53.jpg,82,73,16,up,2010-01-09,
74,Why Don't We Just Dance,Josh Turner,https://charts-static.billboard.com/img/2017/06/josh-turner-53x53.jpg,64,64,7,down,2010-01-09,
75,I Wanna Make You Close Your Eyes,Dierks Bentley,https://charts-static.billboard.com/img/2009/08/dierks-bentley-yjg-53x53.jpg,57,52,13,down,2010-01-09,
76,Eight Second Ride,Jake Owen,https://charts-static.billboard.com/img/2009/06/jake-owen-17q-53x53.jpg,73,70,8,down,2010-01-09,
77,Drop It Low,Ester Dean Featuring Chris Brown,https://charts-static.billboard.com/img/2009/08/ester-dean-isl-53x53.jpg,99,38,16,up,2010-01-09,
78,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,https://charts-static.billboard.com/img/2009/06/gucci-mane-fyx-53x53.jpg,77,36,17,down,2010-01-09,
79,Funhouse,P!nk,https://charts-static.billboard.com/img/2017/04/pnk-53x53.jpg,-,44,12,re-entry,2010-01-09,
80,Papers,Usher,https://charts-static.billboard.com/img/2009/10/usher-oqp-53x53.jpg,61,31,11,down,2010-01-09,
81,History In The Making,Darius Rucker,https://charts-static.billboard.com/img/2009/09/darius-rucker-iex-53x53.jpg,66,64,9,down,2010-01-09,
82,Music Box,Eminem,https://charts-static.billboard.com/img/2010/01/eminem-1xq-53x53.jpg,,,,new,2010-01-09,
83,Red Light,David Nail,https://charts-static.billboard.com/img/2009/02/david-nail-c32-53x53.jpg,63,54,14,down,2010-01-09,
84,Someday,Rob Thomas,https://charts-static.billboard.com/img/2009/07/rob-thomas-qfd-53x53.jpg,74,72,8,down,2010-01-09,
85,Breakeven,The Script,https://charts-static.billboard.com/img/2017/07/the-script-53x53.jpg,89,85,4,up,2010-01-09,
86,Love Me,Justin Bieber,https://charts-static.billboard.com/img/2009/11/justin-bieber-3jm-53x53.jpg,-,37,4,re-entry,2010-01-09,
87,Shut It Down,Pitbull Featuring Akon,https://charts-static.billboard.com/img/2009/09/pitbull-odu-53x53.jpg,69,69,4,down,2010-01-09,
88,Hot Mess,Cobra Starship,https://charts-static.billboard.com/img/2009/08/cobra-starship-g9t-53x53.jpg,-,64,2,re-entry,2010-01-09,
89,I Wanna Rock,Snoop Dogg,https://charts-static.billboard.com/img/2009/11/snoop-dogg-7vk-53x53.jpg,75,75,3,down,2010-01-09,
