rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail
64,Wind Up Missin' You,Tucker Wetmore,https://charts-static.billboard.com/img/2024/04/tuckerwetmore-cvz-windupmissinyou-2rn-180x180.jpg,,77,63,27,up
65,Too Fast,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,23,23,2,down
66,Red Wine Supernova,Chappell Roan,https://charts-static.billboard.com/img/2024/04/chappellroan-bhw-redwinesupernova-9dp-180x180.jpg,,62,41,18,down
67,Lonely Road,mgk & Jelly Roll,https://charts-static.billboard.com/img/2024/08/mgk-ohm-lonelyroad-4g6-180x180.jpg,,78,33,10,up
68,Fall Fast In Love,Rod Wave,https://charts-static.billboard.com/img/2024/10/rodwave-qt2-fallfastinlove-3we-180x180.jpg,,None,68,1,new
69,Burning Down,Alex Warren,https://charts-static.billboard.com/img/2024/10/alexwarren-1ap-burningdown-j93-180x180.jpg,,76,69,2,up
70,Diet Pepsi,Addison Rae,https://charts-static.billboard.com/img/2024/09/addisonrae-xms-dietpepsi-yc0-180x180.jpg,,96,70,4,up
71,Think I'm In Love With You,Chris Stapleton,https://charts-static.billboard.com/img/2023/09/chris-stapleton-gzh-ithinkiminlovewithyou-99q-180x180.jpg,,75,49,22,up
72,All Red,Playboi Carti,https://charts-static.billboard.com/img/2024/09/playboi-carti-ca2-allred-ccl-180x180.jpg,,51,15,3,down
73,Ski,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,26,26,2,down
74,Casual,Chappell Roan,https://charts-static.billboard.com/img/2024/06/chappellroan-bhw-casual-xmi-180x180.jpg,,72,59,15,down
75,Shake Dat Ass (Twerk Song),BossMan Dlow,https://charts-static.billboard.com/img/2024/06/bossmandlow-000-shakedatasstwerksong-ocj-180x180.jpg,,91,75,4,up
76,Nel,Fuerza Regida,https://charts-static.billboard.com/img/2018/06/fuerzaregida-o2t-180x180.jpg,,82,70,10,up
77,Am I Okay?,Megan Moroney,https://charts-static.billboard.com/img/2024/07/meganmoroney-bnc-amiokayX-wr9-180x180.jpg,,84,71,8,up
78,I Never Lie,Zach Top,https://charts-static.billboard.com/img/2024/01/zachtop-znv-180x180.jpg,,None,78,2,re-entry
79,Heavy Is The Crown,Linkin Park,https://charts-static.billboard.com/img/2000/09/linkin-park-ohp-180x180.jpg,,None,79,1,new
80,Chihiro,Billie Eilish,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,,None,12,19,re-entry
81,Prove It,21 Savage & Summer Walker,https://charts-static.billboard.com/img/2016/08/21-savage-iy5-180x180.jpg,,95,43,13,up
82,Lunch,Billie Eilish,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,,94,5,20,up
83,Coincidence,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,97,26,6,up
84,Apple,Charli xcx,https://charts-static.billboard.com/img/2012/06/charli-xcx-3qe-180x180.jpg,,89,51,11,up
85,Residuals,Chris Brown,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,,93,85,5,up
86,Belong Together,Mark Ambor,https://charts-static.billboard.com/img/2024/04/markambor-3re-belongtogether-qu4-180x180.jpg,,92,74,22,up
87,Sharpest Tool,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,100,21,6,up
88,Blow For Blow,Tee Grizzley & J. Cole,https://charts-static.billboard.com/img/2024/10/tee-grizzley-j54-blowforblow-jf3-180x180.jpg,,None,88,1,new
89,Baby I'm Back,The Kid LAROI,https://charts-static.billboard.com/img/2020/02/the-kid-laroi-qev-180x180.jpg,,None,89,2,re-entry
90,No One Noticed,The Marias,https://charts-static.billboard.com/img/2018/09/the-marias-mjs-180x180.jpg,,None,90,1,new
91,Or What?,NLE Choppa & 41,https://charts-static.billboard.com/img/2024/09/nlechoppa-afk-orwhatX-3o4-180x180.jpg,,None,91,1,new
92,El Lokeron,Tito Double P,Not supported yet,,None,92,1,new
93,Liar,Jelly Roll,https://charts-static.billboard.com/img/2024/08/jelly-roll-z4p-liar-cer-180x180.jpg,,None,93,2,re-entry
94,Chevrolet,Dustin Lynch Featuring Jelly Roll,https://charts-static.billboard.com/img/2023/12/dustin-lynch-xmu-chevrolet-z02-180x180.jpg,,87,50,16,down
95,Hollon,GloRilla,https://charts-static.billboard.com/img/2022/05/glorilla-bn2-180x180.jpg,,86,86,2,down
96,Keep Up,Odetari,https://charts-static.billboard.com/img/2024/08/odetari-31a-keepup-uh1-180x180.jpg,,None,96,1,new
97,Passport Junkie,Rod Wave,https://charts-static.billboard.com/img/2024/09/rodwave-qt2-passportjunkie-vf1-180x180.jpg,,98,61,3,up
98,This Is My Dirt,Justin Moore,https://charts-static.billboard.com/img/2023/11/justin-moore-zy0-thisismydirt-dz4-180x180.jpg,,None,98,1,new
99,Close To You,Gracie Abrams,https://charts-static.billboard.com/img/2020/10/gracie-abrams-wqa-180x180.jpg,,None,49,9,re-entry
100,Slim Pickins,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,None,27,5,re-entry
