rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail
17,Miles On It,Marshmello & Kane Brown,https://charts-static.billboard.com/img/2024/05/marshmello-fo3-milesonit-gf9-180x180.jpg,,18,15,21,up
18,Cowgirls,Morgan Wallen Featuring ERNEST,https://charts-static.billboard.com/img/2023/03/morgan-wallen-dqx-cowgirls-myb-180x180.jpg,,22,12,41,up
19,Austin,Dasha,https://charts-static.billboard.com/img/2024/03/dasha-3tu-austin-6a3-180x180.jpg,,24,18,29,up
20,Bed Chem,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,21,14,5,up
21,Teflon Don,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,21,1,new
22,I Am Not Okay,Jelly Roll,https://charts-static.billboard.com/img/2024/06/jelly-roll-z4p-iamnotokay-zvd-180x180.jpg,,25,22,15,up
23,Too Fast,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,23,1,new
24,Pink Skies,Zach Bryan,https://charts-static.billboard.com/img/2024/06/zachbryan-de1-pinkskies-qx3-180x180.jpg,,23,6,18,down
25,Lil Demon,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,25,1,new
26,Ski,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,26,1,new
27,Pink Pony Club,Chappell Roan,https://charts-static.billboard.com/img/2024/06/chappellroan-bhw-pinkponyclub-14t-180x180.jpg,,29,26,15,up
28,The Door,Teddy Swims,https://charts-static.billboard.com/img/2023/11/teddyswims-vot-thedoor-ud5-180x180.jpg,,28,27,17,same
29,Plutoski,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,29,1,new
30,Who,Jimin,https://charts-static.billboard.com/img/2024/07/ji-min-7g4-who-w0p-180x180.jpg,,30,12,10,same
31,Kehlani,Jordan Adetunji,https://charts-static.billboard.com/img/2024/06/jordanadetunji-vl3-kehlani-oq4-180x180.jpg,,27,24,14,down
32,It's Ok I'm Ok,Tate McRae,https://charts-static.billboard.com/img/2024/09/tatemcrae-rxu-itsokimok-dr7-180x180.jpg,,20,20,2,down
33,TGIF,GloRilla,https://charts-static.billboard.com/img/2024/07/glorilla-bn2-tgif-0z9-180x180.jpg,,33,28,14,same
34,I Can Do It With A Broken Heart,Taylor Swift,https://charts-static.billboard.com/img/2024/04/taylor-swift-9sy-icandoitwithabrokenheart-o50-180x180.jpg,,26,3,23,down
35,Pour Me A Drink,Post Malone Featuring Blake Shelton,https://charts-static.billboard.com/img/2024/07/post-malone-uhe-pourmeadrink-cdz-180x180.jpg,,35,12,14,same
36,Saturn,SZA,https://charts-static.billboard.com/img/2024/03/sza-xyh-saturn-9z7-180x180.jpg,,31,6,31,down
37,28,Zach Bryan,https://charts-static.billboard.com/img/2019/09/zachbryan-de1-180x180.jpg,,32,14,12,down
38,Dancing In The Flames,The Weeknd,https://charts-static.billboard.com/img/2024/09/the-weeknd-jlk-dancingintheflames-nx1-180x180.jpg,,14,14,2,down
39,Like That,"Future, Metro Boomin & Kendrick Lamar",https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,34,1,27,down
40,Stargazing,Myles Smith,https://charts-static.billboard.com/img/2024/05/mylessmith-000-stargazing-35e-180x180.jpg,,40,40,20,same
41,You Look Like You Love Me,Ella Langley Featuring Riley Green,https://charts-static.billboard.com/img/2024/06/ellalangley-000-youlooklikeyouloveme-vtu-180x180.jpg,,39,36,14,down
42,Ready To Cook Up,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,42,1,new
43,Si Antes Te Hubiera Conocido,Karol G,https://charts-static.billboard.com/img/2024/06/karol-g-7vn-siantestehubieraconocido-0ut-180x180.jpg,,37,32,14,down
44,Guy For That,Post Malone Featuring Luke Combs,https://charts-static.billboard.com/img/2024/08/post-malone-uhe-guyforthat-dky-180x180.jpg,,41,17,9,down
45,Wildflower,Billie Eilish,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,,48,17,19,up
46,Ocean,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,46,1,new
47,Sailor Song,Gigi Perez,https://charts-static.billboard.com/img/2024/08/gigiperez-iqu-sailorsong-x36-180x180.jpg,,46,46,6,down
48,Stick Season,Noah Kahan,https://charts-static.billboard.com/img/2022/07/noah-kahan-6tv-stickseason-gpe-180x180.jpg,,38,9,52,down
49,Slow It Down,Benson Boone,https://charts-static.billboard.com/img/2024/04/bensonboone-a8a-slowitdown-zc9-180x180.jpg,,36,32,27,down
50,High Road,Koe Wetzel & Jessie Murph,https://charts-static.billboard.com/img/2024/06/koe-wetzel-n6g-highroad-769-180x180.jpg,,45,22,16,down
51,All Red,Playboi Carti,https://charts-static.billboard.com/img/2024/09/playboi-carti-ca2-allred-ccl-180x180.jpg,,15,15,2,down
52,The Emptiness Machine,Linkin Park,https://charts-static.billboard.com/img/2000/09/linkin-park-ohp-180x180.jpg,,42,21,3,down
53,360,Charli xcx,https://charts-static.billboard.com/img/2024/05/charli-xcx-3qe-360-37u-180x180.jpg,,49,41,16,down
54,La Patrulla,Peso Pluma & Neton Vega,https://charts-static.billboard.com/img/2022/04/pesopluma-2yo-180x180.jpg,,51,51,10,down
55,Good Graces,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,44,15,5,down
56,Big Dawgs,Hanumankind X Kalmi,https://charts-static.billboard.com/img/2024/08/hanumankind-000-bigdawgs-iuv-180x180.jpg,,47,23,9,down
57,South Of France,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,57,1,new
58,"I Love You, I'm Sorry",Gracie Abrams,https://charts-static.billboard.com/img/2020/10/gracie-abrams-wqa-180x180.jpg,,52,52,8,down
59,Brazzier,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,59,1,new
60,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,https://charts-static.billboard.com/img/2019/01/megan-thee-stallion-dkc-180x180.jpg,,50,36,13,down
61,Press The Button,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,61,1,new
62,Red Wine Supernova,Chappell Roan,https://charts-static.billboard.com/img/2024/04/chappellroan-bhw-redwinesupernova-9dp-180x180.jpg,,54,41,17,down
63,Surfing A Tsunami,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,63,1,new
64,Guess,Charli xcx Featuring Billie Eilish,https://charts-static.billboard.com/img/2024/06/charli-xcx-3qe-guess-uv3-180x180.jpg,,56,12,8,down
65,Help Me,Real Boston Richey,https://charts-static.billboard.com/img/2024/07/realbostonrichey-4gx-helpme-cv6-180x180.jpg,,55,55,10,down
66,Houdini,Eminem,https://charts-static.billboard.com/img/2024/06/eminem-6zg-houdini-8j5-180x180.jpg,,53,2,17,down
67,One Of Wun,Gunna,https://charts-static.billboard.com/img/2024/05/gunna-czg-oneofwun-2zg-180x180.jpg,,57,26,20,down
68,MJ,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,68,1,new
69,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,https://charts-static.billboard.com/img/2017/03/moneybagg-yo-1uf-180x180.jpg,,60,21,15,down
70,Oath,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,70,1,new
71,Nights Like This,The Kid LAROI,https://charts-static.billboard.com/img/2020/02/the-kid-laroi-qev-180x180.jpg,,63,47,14,down
72,Casual,Chappell Roan,https://charts-static.billboard.com/img/2024/06/chappellroan-bhw-casual-xmi-180x180.jpg,,59,59,14,down
73,"Love You, Miss You, Mean It",Luke Bryan,https://charts-static.billboard.com/img/2024/04/luke-bryan-3xn-loveyoumissyoumeanit-edi-180x180.jpg,,68,68,8,down
74,Juno,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,62,22,5,down
75,Think I'm In Love With You,Chris Stapleton,https://charts-static.billboard.com/img/2023/09/chris-stapleton-gzh-ithinkiminlovewithyou-99q-180x180.jpg,,69,49,21,down
76,Burning Down,Alex Warren,https://charts-static.billboard.com/img/2024/10/alexwarren-1ap-burningdown-j93-180x180.jpg,,None,76,1,new
77,Wind Up Missin' You,Tucker Wetmore,https://charts-static.billboard.com/img/2024/04/tuckerwetmore-cvz-windupmissinyou-2rn-180x180.jpg,,65,63,26,down
78,Lonely Road,mgk & Jelly Roll,https://charts-static.billboard.com/img/2024/08/mgk-ohm-lonelyroad-4g6-180x180.jpg,,64,33,9,down
79,Una Velita,Bad Bunny,https://charts-static.billboard.com/img/2024/10/bad-bunny-xva-unavelita-ovb-180x180.jpg,,None,79,1,new
80,Aye Say Gang,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,80,1,new
81,Told My,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,81,1,new
82,Nel,Fuerza Regida,https://charts-static.billboard.com/img/2018/06/fuerzaregida-o2t-180x180.jpg,,70,70,9,down
83,Lost My Dog,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,83,1,new
84,Am I Okay?,Megan Moroney,https://charts-static.billboard.com/img/2024/07/meganmoroney-bnc-amiokayX-wr9-180x180.jpg,,71,71,7,down
85,Made My Hoe Faint,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,None,85,1,new
86,Hollon,GloRilla,https://charts-static.billboard.com/img/2022/05/glorilla-bn2-180x180.jpg,,None,86,1,new
87,Chevrolet,Dustin Lynch Featuring Jelly Roll,https://charts-static.billboard.com/img/2023/12/dustin-lynch-xmu-chevrolet-z02-180x180.jpg,,58,50,15,down
88,Dos Dias,Tito Double P & Peso Pluma,https://charts-static.billboard.com/img/2022/04/pesopluma-2yo-180x180.jpg,,78,78,3,down
89,Apple,Charli xcx,https://charts-static.billboard.com/img/2012/06/charli-xcx-3qe-180x180.jpg,,72,51,10,down
90,Beautiful As You,Thomas Rhett,https://charts-static.billboard.com/img/2024/05/thomas-rhett-d1j-beautifulasyou-e0m-180x180.jpg,,87,59,16,down
91,Shake Dat Ass (Twerk Song),BossMan Dlow,https://charts-static.billboard.com/img/2024/06/bossmandlow-000-shakedatasstwerksong-ocj-180x180.jpg,,82,82,3,down
92,Belong Together,Mark Ambor,https://charts-static.billboard.com/img/2024/04/markambor-3re-belongtogether-qu4-180x180.jpg,,84,74,21,down
93,Residuals,Chris Brown,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,,85,85,4,down
94,Lunch,Billie Eilish,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,,83,5,19,down
95,Prove It,21 Savage & Summer Walker,https://charts-static.billboard.com/img/2016/08/21-savage-iy5-180x180.jpg,,90,43,12,down
96,Diet Pepsi,Addison Rae,https://charts-static.billboard.com/img/2024/09/addisonrae-xms-dietpepsi-yc0-180x180.jpg,,81,81,3,down
97,Coincidence,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,73,26,5,down
98,Passport Junkie,Rod Wave,https://charts-static.billboard.com/img/2024/09/rodwave-qt2-passportjunkie-vf1-180x180.jpg,,61,61,2,down
99,Circadian Rhythm,Drake,https://charts-static.billboard.com/img/2024/09/drake-04g-circadianrhythm-07y-180x180.jpg,,66,59,4,down
100,Sharpest Tool,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,76,21,5,down
